radius_L0,path,path_fraction,q_plane_frame,min_eigenvalue_eV_L0sq,status
20.0,GL,0.39999999999999997,"[3.527880952737753e-18, -1.2761455246265137e-17, 1.539059796194237]",6.308817684224678,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.44999999999999996,"[-2.1405657587449944e-17, -1.0665335391807698e-17, 1.7314422707185166]",8.011035179525887,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.49999999999999994,"[-3.5225272177580366e-19, 3.2176728652945244e-17, 1.9238247452427961]",9.873902582920861,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.5499999999999999,"[-2.52857912619635e-17, 3.4272848507402683e-17, 2.116207219767076]",11.856674907347301,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.6,"[-5.02193298021512e-17, -7.465333410065553e-17, 2.3085896942913555]",13.906877106136228,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.65,"[-1.0117509285685079e-17, -2.2808559739779422e-18, 2.5009721688156357]",15.96186409931379,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.7,"[-1.0008640688252659e-16, -7.046109439174065e-17, 2.693354643339915]",17.95148138657305,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.75,"[9.702465950231702e-17, 4.265732792523244e-17, 2.8857371178641946]",19.801667753724313,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.7999999999999999,"[7.055761905475505e-18, -2.5522910492530273e-17, 3.078119592388474]",21.438736580339707,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.85,"[-1.7877776634712192e-17, 8.759551182444282e-17, 3.2705020669127536]",22.793989857650132,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.9,"[2.2224043881753927e-17, -6.20766149739109e-17, 3.4628845414370337]",23.808267375018932,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.95,"[8.92643921532899e-17, -8.951090920137811e-17, 3.6552670159613125]",24.436021873184398,corrected +ABC cubic labels; sampled static stability only
20.0,GL,1.0,"[-9.267839225527528e-17, -1.7138431074700518e-17, 3.8476494904855927]",24.648542558229664,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.05,"[1.8520036568128273e-18, -0.13603495231756635, 0.19238247452427965]",0.06690282728339196,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.1,"[3.7040073136256545e-18, -0.2720699046351327, 0.3847649490485593]",0.2766078405698463,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.15,"[-1.0702828793724972e-17, -0.40810485695269905, 0.5771474235728389]",0.6544938201394284,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.2,"[7.408014627251309e-18, -0.5441398092702654, 0.7695298980971186]",1.2377133306459307,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.25,"[4.851232975115851e-17, -0.6801747615878317, 0.9619123726213982]",2.0685611769177603,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.3,"[-2.1405657587449944e-17, -0.8162097139053981, 1.1542948471456778]",3.1871130097652784,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.35,"[1.9698657536457256e-17, -0.9522446662229644, 1.3466773216699572]",4.624597213834601,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.39999999999999997,"[-5.02193298021512e-17, -1.0882796185405308, 1.539059796194237]",6.398812440017781,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.44999999999999996,"[-9.115014678243998e-18, -1.2243145708580971, 1.7314422707185164]",8.51248863944527,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.49999999999999994,"[3.19893004456632e-17, -1.3603495231756633, 1.9238247452427961]",10.95487966174678,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.5499999999999999,"[-8.391563029880709e-17, -1.4963844754932298, 2.116207219767076]",13.706169693722952,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.6,"[-4.281131517489989e-17, -1.6324194278107962, 2.3085896942913555]",16.743599120190204,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.65,"[-9.368088686271636e-17, -1.7684543801283628, 2.5009721688156357]",20.047690238504913,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.7,"[3.939731507291451e-17, -1.9044893324459289, 2.6933546433399145]",23.606706520229856,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.75,"[8.050163019682171e-17, -2.040524284763495, 2.885737117864194]",27.41760496837943,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.7999999999999999,"[-1.004386596043024e-16, -2.1765592370810616, 3.078119592388474]",31.48229680778425,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.85,"[1.6271026044463611e-16, -2.3125941893986277, 3.2705020669127536]",35.79899553719996,corrected +ABC cubic labels; sampled static stability only
20.0,GK,0.9,"[1.1184068875681964e-16, -2.4486291417161943, 3.4628845414370337]",40.349680725803765,corrected +ABC cubic labels; sampled static stability only
