cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
88,zero_stress_hold,0.4,2.7926569796302565e-05,0.01840303014811912,8.505398451513768e-10,7.329805604929747e-08,-2.214840346608131e-09,-2.2148403474751485e-09,8.660329648270491e-05,0.0,0.9999999999996718,-3.2818192607919627e-13,4.60199692851035e-08,0.0014119700166336019,0.018403030984598587,-2.0403572959697568e-06,-2.096720017333484e-06,5.6362721363528965e-08,4.601996930059249e-08,0.00762192007348,0.0014119700166336019,2.3774328511243013e-11,0.0007059619983321584,0.9985880299830383,0.0007060080183014435
89,zero_stress_hold,0.4,2.792560263838106e-05,0.01840303177941771,7.695455765677206e-10,6.824473047357875e-08,-2.147487857570711e-09,-2.147487859521964e-09,8.660299079072883e-05,0.0,0.9999999999996629,-3.3706371027619753e-13,4.387248142753279e-08,0.001425932817948331,0.018403032536421938,-1.9027543023218465e-06,-1.9564868989464724e-06,5.373259662359352e-08,4.3872481441070525e-08,0.007708523064270729,0.001425932817948331,2.3774341410914294e-11,0.0007129444727334517,0.9985740671817145,0.0007129883452148793
90,zero_stress_hold,0.4,2.7924668843921083e-05,0.01840303325640611,6.972541172906022e-10,6.355116045157146e-08,-2.0777971419158095e-09,-2.0777971424575797e-09,8.660268323911185e-05,0.0,0.999999999999654,-3.459454944731988e-13,4.179468428561698e-08,0.001439895152365844,0.018403033942458454,-1.7746151227903545e-06,-1.825802948022859e-06,5.1187825230240034e-08,4.1794684298612945e-08,0.0077951257475098405,0.001439895152365844,2.3774353863463176e-11,0.0007199266788407792,0.9985601048472881,0.0007199684735250648
91,zero_stress_hold,0.4,2.7923765330241886e-05,0.018403034595572652,6.326427420128011e-10,5.919050249074258e-08,-2.0064092378641823e-09,-2.0064092387311536e-09,8.66023730914673e-05,0.0,0.9999999999996464,-3.5360603334311236e-13,3.9788275047752796e-08,0.001453857035027205,0.018403035218196803,-1.6552684850408077e-06,-1.7039989708449505e-06,4.873048580625317e-08,3.978827505988179e-08,0.007881728120601308,0.001453857035027205,2.3774365871192904e-11,0.0007269086233760786,0.9985461429646194,0.0007269484116511263
92,zero_stress_hold,0.4,2.7922889310937023e-05,0.018403035811478508,5.748186440723835e-10,5.5138054769473195e-08,-1.93390730252768e-09,-1.933907303611551e-09,8.6602059671868e-05,0.0,0.9999999999996371,-3.6293190674996367e-13,3.7854367745225116e-08,0.0014678184796780237,0.018403036377325075,-1.5440929257190565e-06,-1.5904548684746752e-06,4.636194275573565e-08,3.785436775627024e-08,0.007968330180273176,0.0014678184796780237,2.3774377438355324e-11,0.0007338903126551393,0.998532181519959,0.0007339281670228845
93,zero_stress_hold,0.4,2.7922038253652847e-05,0.01840303691700096,5.230009932077895e-10,5.137106963435719e-08,-1.8608165726616977e-09,-1.8608165735286425e-09,8.660174236796957e-05,0.0,0.9999999999996299,-3.701483564100272e-13,3.599355117256342e-08,0.0014817794988011704,0.01840303743195638,-1.4405128499557618e-06,-1.4845957671566549e-06,4.408291720176776e-08,3.59935511827416e-08,0.008054931922641145,0.0014817794988011704,2.3774388570844377e-11,0.0007408717526249989,0.9985182205008287,0.0007409077461761715
94,zero_stress_hold,0.4,2.792120988111571e-05,0.018403037923543315,4.76506114080455e-10,4.786858507582879e-08,-1.7876055131596304e-09,-1.787605515002344e-09,8.660142063229154e-05,0.0,0.9999999999996231,-3.7692071686024065e-13,3.420594565940379e-08,0.0014957401037373657,0.01840303839282546,-1.3439949306333896e-06,-1.3858884871499032e-06,4.1893556517454176e-08,3.4205945667739254e-08,0.008141533343273437,0.0014957401037373657,2.377439927592482e-11,0.0007478529488958532,0.9985042598958858,0.0007478871548415126
95,zero_stress_hold,0.4,2.7920438965128997e-05,0.01840303884121703,4.34733679610666e-10,4.461127191645797e-08,-1.7146878753029319e-09,-1.7146878758447087e-09,8.660109398174465e-05,0.0,0.9999999999996133,-3.86690679476942e-13,3.2491257784100856e-08,0.0015097003047945057,0.01840303926945661,-1.2540448158689106e-06,-1.2938383172050669e-06,3.979350133613957e-08,3.2491257791894546e-08,0.008228134437255182,0.0015097003047945057,2.377440956199303e-11,0.0007548339067683608,0.9984902996948191,0.0007548663980261449
96,zero_stress_hold,0.4,2.791969708766365e-05,0.01840303967899909,3.9715699305664653e-10,4.158129590647832e-08,-1.6424253848236998e-09,-1.6424253865580593e-09,8.66007619961355e-05,0.0,0.9999999999996044,-3.955724636739433e-13,3.0848832399277157e-08,0.001523660111346599,0.018403040070310264,-1.1702041145652729e-06,-1.2079860638333212e-06,3.7781949269433386e-08,3.0848832405336486e-08,0.008314735199251317,0.001523660111346599,2.3774419438366586e-11,0.0007618146312570999,0.9984763398882578,0.0007618454800894991
97,zero_stress_hold,0.4,2.791896916924534e-05,0.018403040444869165,3.633115717993629e-10,3.876219263598179e-08,-1.5711308940049175e-09,-1.5711308931371654e-09,8.660042431557144e-05,0.0,0.9999999999995965,-4.034550471487819e-13,2.927770150527224e-08,0.0015376195319231662,0.01840304080291232,-1.0920476342009326e-06,-1.1279053489659044e-06,3.585771476471598e-08,2.927770151219932e-08,0.008401335623566888,0.0015376195319231662,2.3774428915099604e-11,0.0007687951271108305,0.9984623804676734,0.0007688244048123358
