observable,role,validation_status,target,prediction,units,scale,normalized_residual
new_opening_1.17h_energy,fit,development_or_control,0.14263027381623705,0.1313386741306457,eV/cell,0.014263027381623706,-0.7916692146394736
new_opening_1.17h_normal_force,fit,development_or_control,1.6398229617729339,1.299388885966781,eV/L0,0.03173805605024358,-10.726368220763794
new_opening_1.42h_energy,fit,development_or_control,0.4226003973463561,0.3683845973389513,eV/cell,0.042260039734635615,-1.282909347644803
new_opening_1.42h_normal_force,fit,development_or_control,0.8686291067124379,0.9394544507187289,eV/L0,0.03173805605024358,2.2315589806183946
new_opening_1.78h_energy,fit,development_or_control,0.5953584311886578,0.5717850187123998,eV/cell,0.05953584311886578,-0.3959532819446715
new_opening_1.78h_normal_force,fit,development_or_control,0.5989965116849877,0.504028851617475,eV/L0,0.03173805605024358,-2.9922330440519787
new_opening_2.23h_energy,fit,development_or_control,0.7765619947928292,0.7057158514583076,eV/cell,0.07765619947928293,-0.9123050549675926
new_opening_2.23h_normal_force,fit,development_or_control,0.15664558956102492,0.255907517443564,eV/L0,0.03173805605024358,3.1275364731034703
new_opening_3.4h_energy,fit,development_or_control,0.7719163228888833,0.8231849670714652,eV/cell,0.07719163228888834,0.6641735983857655
new_opening_3.4h_normal_force,fit,development_or_control,0.0,0.04666952365819174,eV/L0,0.03173805605024358,1.4704594252499459
new_opening_5.5h_energy,fit,development_or_control,0.7719163228888833,0.8486915441806805,eV/cell,0.07719163228888834,0.9946054904561056
new_opening_5.5h_normal_force,fit,development_or_control,0.0,0.002891085482105813,eV/L0,0.03173805605024358,0.09109207815151063
v16_direct011_energy,fit,development_or_control,0.025339211626875774,0.022853673129477826,eV/cell,0.004433026104653031,-0.5606866367849844
v16_direct011_normal_force,fit,development_or_control,-0.1684646879274777,-0.2608790082520177,eV/L0,0.03173805605024358,-2.9117826302355008
v16_direct011_Haa,fit,development_or_control,23.17866876533168,25.594095240169352,eV/L0^2,2.317866876533168,1.042090250864806
v16_direct031_energy,fit,development_or_control,0.16617323878813156,0.16049332355971851,eV/cell,0.016617323878813157,-0.34180685589542215
v16_direct031_normal_force,fit,development_or_control,-1.4977500080753077,-1.3676549359931798,eV/L0,0.03173805605024358,4.099024586640663
v16_direct031_Haa,fit,development_or_control,34.460781638400974,40.17292107749421,eV/L0^2,3.4460781638400975,1.657576864921711
v16_raised043_energy,fit,development_or_control,0.1726273519698645,0.18716006412602101,eV/cell,0.017262735196986453,0.8418545491385094
v16_raised043_normal_force,fit,development_or_control,-0.17083895700384927,-0.04427254311701195,eV/L0,0.03173805605024358,3.9878439210792798
v16_raised043_Haa,fit,development_or_control,18.238440853611248,16.687422352754837,eV/L0^2,1.8238440853611249,-0.850411783170219
v16_off_plus_energy,fit,development_or_control,0.0652424878354941,0.06589586752538462,eV/cell,0.006524248783549411,0.1001463481187262
v16_off_plus_normal_force,fit,development_or_control,-0.08042066717244803,-0.07483173489649379,eV/L0,0.03173805605024358,0.1760956079700207
v16_off_plus_Haa,fit,development_or_control,20.981095919956758,24.034302950807238,eV/L0^2,2.098109591995676,1.4552180889399282
v16_off_minus_energy,fit,development_or_control,0.21182429891635463,0.21954426137913935,eV/cell,0.021182429891635463,0.36445122218170023
v16_off_minus_normal_force,fit,development_or_control,0.3481661631135443,0.4676665025862596,eV/L0,0.03173805605024358,3.7652066428875735
v16_off_minus_Haa,fit,development_or_control,5.497617912510364,8.614521315652308,eV/L0^2,0.5497617912510364,5.669552618506148
v16_shockley043_energy,fit,development_or_control,0.061697611386283796,0.06673175854559231,eV/cell,0.00616976113862838,0.8159387448227325
v16_shockley043_normal_force,fit,development_or_control,-0.43484281773712713,-0.5785251917507547,eV/L0,0.03173805605024358,-4.527132152837849
v16_shockley043_Haa,fit,development_or_control,25.03469226049791,31.84851875606603,eV/L0^2,2.5034692260497913,2.7217536467662584
v16_opening1.21_energy,fit,development_or_control,0.19627832926906572,0.17384922237882905,eV/cell,0.019627832926906574,-1.1427194725857892
v16_opening1.21_normal_force,fit,development_or_control,1.631864707518524,1.296381683545439,eV/L0,0.03173805605024358,-10.5703708961252
v16_opening1.21_Haa,fit,development_or_control,-1.3832350292334812,-0.7545391002682202,eV/L0^2,0.13832350292334814,4.545112838225709
v16_opening1.62_energy,fit,development_or_control,0.5246331923940108,0.49665191901621075,eV/cell,0.05246331923940109,-0.5333492768560011
v16_opening1.62_normal_force,fit,development_or_control,0.5093642313524578,0.6545097739502769,eV/L0,0.03173805605024358,4.5732335454964055
v16_opening1.62_Haa,fit,development_or_control,-0.15582859326870177,-1.3595980546787447,eV/L0^2,0.1,-12.03769461410043
v16_opening1.93_energy,fit,development_or_control,0.6719836252695317,0.6268341186093044,eV/cell,0.06719836252695317,-0.6718840305389572
v16_opening1.93_normal_force,fit,development_or_control,0.6270410192299789,0.39965255827599216,eV/L0,0.03173805605024358,-7.164536498203128
v16_opening1.93_Haa,fit,development_or_control,-0.6638075680371565,-0.7432192839320089,eV/L0^2,0.1,-0.7941171589485241
v16_opening2.71_energy,fit,development_or_control,0.7719163228888833,0.7778735376115022,eV/cell,0.07719163228888834,0.07717435874816231
v16_opening2.71_normal_force,fit,development_or_control,0.0,0.12736543968164069,eV/L0,0.03173805605024358,4.01301955860221
v16_opening2.71_Haa,fit,development_or_control,0.0,-0.22613114967818887,eV/L0^2,0.1,-2.2613114967818886
v16_opening4.3_energy,fit,development_or_control,0.7719163228888833,0.8423507807758953,eV/cell,0.07719163228888834,0.9124623459627365
v16_opening4.3_normal_force,fit,development_or_control,0.0,0.012840625590554423,eV/L0,0.03173805605024358,0.4045813508624097
v16_opening4.3_Haa,fit,development_or_control,0.0,-0.02178173815924098,eV/L0^2,0.1,-0.2178173815924098
v16_opening6.2_energy,fit,development_or_control,0.7719163228888833,0.8498837475004,eV/cell,0.07719163228888834,1.0100502126930662
v16_opening6.2_normal_force,fit,development_or_control,0.0,0.0014912946328297734,eV/L0,0.03173805605024358,0.046987585832886196
v16_opening6.2_Haa,fit,development_or_control,0.0,-0.0015160519774036882,eV/L0^2,0.1,-0.01516051977403688
v17_near_0.985_normal_force,fit,development_or_control,-0.24821900083247345,-0.3886952391725699,eV/L0,0.03173805605024358,-4.426113499759174
v17_near_0.985_Haa,fit,development_or_control,20.878110673451364,35.393620252467464,eV/L0^2,2.0878110673451364,6.952501500757942
v17_near_1.015_normal_force,fit,development_or_control,0.2329580444899274,0.2899507334965833,eV/L0,0.03173805605024358,1.795720850591241
v17_near_1.015_Haa,fit,development_or_control,18.39295935022696,20.221125142093506,eV/L0^2,1.839295935022696,0.9939486936581454
v17_near_1.065_normal_force,fit,development_or_control,0.9078686582498847,0.9398929726700885,eV/L0,0.03173805605024358,1.0090194046386163
v17_near_1.065_Haa,fit,development_or_control,14.605604041867348,15.223200921505878,eV/L0^2,1.4605604041867348,0.4228492555790039
v17_near_1.095_normal_force,fit,development_or_control,1.2303804278835464,1.1944973235599081,eV/L0,0.03173805605024358,-1.1306018322871696
v17_near_1.095_Haa,fit,development_or_control,11.545874277606002,4.630474086391974,eV/L0^2,1.1545874277606003,-5.989498954294791
v17_direct023_energy,heldout,retrospective,0.10138618519039871,0.09109467361613599,eV/cell,0.010138618519039872,-1.0150802651205117
v17_direct023_normal_force,heldout,retrospective,-0.8610948380753036,-0.7716941181398312,eV/L0,0.03173805605024358,2.8168303627022633
v17_direct023_Haa,heldout,retrospective,29.67272464413389,32.28051372963564,eV/L0^2,2.967272464413389,0.8788505662277619
v17_direct023_Hxx,heldout,retrospective,1.5318476269016676,3.1429934198782234,eV/L0^2,0.1531847626901668,10.517663537040413
v17_direct047_energy,heldout,retrospective,0.26395051027571553,0.2691270018243066,eV/cell,0.026395051027571555,0.19611598943998418
v17_direct047_normal_force,heldout,retrospective,-2.2580600813748397,-2.301414953992422,eV/L0,0.03173805605024358,-1.3660216791144444
v17_direct047_Haa,heldout,retrospective,35.337517734960244,50.04459281928975,eV/L0^2,3.5337517734960247,4.161886863315089
v17_direct047_Hxx,heldout,retrospective,-7.290154929569364,-7.535057794698824,eV/L0^2,0.7290154929569365,-0.33593643412997654
v17_off_plus_energy,heldout,retrospective,0.08014986299727256,0.08980613717876015,eV/cell,0.008014986299727257,1.2047773783239268
v17_off_plus_normal_force,heldout,retrospective,0.496288954541943,0.6149407338514586,eV/L0,0.03173805605024358,3.7384702806523977
v17_off_plus_Haa,heldout,retrospective,13.145916399036436,13.803826690458623,eV/L0^2,1.3145916399036437,0.5004674238384859
v17_off_plus_Hxx,heldout,retrospective,0.5867789207029961,0.27600326578667617,eV/L0^2,0.1,-3.107756549163199
v17_off_minus_energy,heldout,retrospective,0.21284911087573022,0.2296023396785729,eV/cell,0.021284911087573022,0.7870941407231854
v17_off_minus_normal_force,heldout,retrospective,0.06702268289699899,0.08816866490067365,eV/L0,0.03173805605024358,0.6662658220213326
v17_off_minus_Haa,heldout,retrospective,11.464221151869252,13.734792220064989,eV/L0^2,1.1464221151869252,1.9805715871291603
v17_off_minus_Hxx,heldout,retrospective,-2.835312235036081,-3.066600948290502,eV/L0^2,0.2835312235036081,-0.8157433611592261
v17_shockley067_energy,heldout,retrospective,0.07506981596967024,0.08765196312298505,eV/cell,0.007506981596967025,1.6760594109353157
