candidate,a_over_h,opening_angstrom,energy_J_m2,normal_traction_GPa,registry_curvature
Mishin_source_rigid,1.07,0.16367880131525905,0.06557718595632653,7.614231026351068,0.3807752255011769
Mishin_source_rigid,1.1,0.23382685902179862,0.12790959585852854,10.052335279707442,0.29708402511700566
Mishin_source_rigid,1.13,0.30397491672833776,0.2049366425280291,11.797917332711235,0.18488311690111334
Mishin_source_rigid,1.16,0.37412297443487735,0.2916723390938724,12.787346385867082,0.047216007697139135
Mishin_source_rigid,1.19,0.44427103214141694,0.3823325240627611,12.965855311290653,-0.05351444190065781
Mishin_source_rigid,1.22,0.5144190898479565,0.47270454871124123,12.750389625445619,-0.09313361901425056
Mishin_source_rigid,1.25,0.5845671475544961,0.5606482584978171,12.28876410039808,-0.1046308237181293
Mishin_source_rigid,1.28,0.6547152052610358,0.6446934984056119,11.64759802367396,-0.1069285541306562
Mishin_source_rigid,1.31,0.7248632629675753,0.7237178761890313,10.857074307834955,-0.11556419218548
Mishin_source_rigid,1.3399999999999999,0.7950113206741144,0.7966441513451312,9.89710903592948,-0.13818600400322537
Mishin_source_rigid,1.37,0.8651593783806544,0.8621402284249,8.761274605710954,-0.16129192197396255
Mishin_source_rigid,1.4,0.9353074360871936,0.9195258960506156,7.604612181660582,-0.18292288467437237
Mishin_source_rigid,1.43,1.0054554937937332,0.9689062025274062,6.516362891838187,-0.18456164321312624
Mishin_source_rigid,1.46,1.0756035515002729,1.011941420480075,5.8005731416613,-0.17337552659502514
Mishin_source_rigid,1.49,1.1457516092068123,1.0505755568535962,5.2176184384291595,-0.16421107800895193
Mishin_source_rigid,1.52,1.215899666913352,1.0851731641359117,4.656849937529047,-0.14739454491876533
Mishin_source_rigid,1.55,1.2860477246198918,1.116285320704448,4.258677374401067,-0.11577667361221278
Mishin_source_rigid,1.58,1.3561957823264312,1.1455786745490908,4.1073832614688115,-0.08726402447789798
Mishin_source_rigid,1.6099999999999999,1.4263438400329704,1.17406834711616,4.026336162706707,-0.05061372980592359
Mishin_source_rigid,1.6400000000000001,1.4964918977395103,1.202205938618405,4.008373287439119,-0.0022372558039752515
Mishin_source_rigid,1.67,1.5666399554460495,1.2304982823721473,4.07203182300117,0.04579613120620732
Mishin_source_rigid,1.7000000000000002,1.6367880131525896,1.259509797523029,4.210947782674608,0.07690060661881866
Mishin_source_rigid,1.73,1.7069360708591286,1.289670288733613,4.393261984290368,0.08398426501002557
Mishin_source_rigid,1.76,1.7770841285656682,1.3212121776339973,4.598579091427942,0.06939839813199525
Mishin_source_rigid,1.79,1.8472321862722076,1.3540992505934553,4.768259732757663,0.037681455051576974
