cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-3,P_-2,P_-1,P_+0,P_+1,P_+2,P_+3
21,zero_stress_hold,40.0,0.00266064048399556,0.018402165056425328,3.400058012914542e-16,1.8537410533371434e-16,-2.907330477186775e-16,-1.7652854835049263e-17,0.01670622366295882,0.0,0.999999999995827,-4.172995282658576e-12,-4.000264712322685e-15,0.028708314543646262,0.01840216505642512,-5.1504437867609705e-15,-2.5293641778778487e-16,-4.899303690625959e-15,-4.2359117134518616e-16,0.3508307803048437,7.932448621690972e-07,1.0576887428354044e-11,3.966224310846457e-07,9.617185039845197e-05,0.014257588798995583,0.9712916854521807,0.014257588798991631,9.617185039842777e-05,3.9662243108445145e-07
22,zero_stress_hold,40.0,0.00265512974359961,0.018402165056425307,3.400058012914542e-16,1.1845322980794707e-16,-2.0133888453108652e-16,-1.567969158442037e-17,0.0167062227469294,0.0,0.9999999999956255,-4.374500761628042e-12,-4.2016035968537715e-15,0.03003583082514354,0.018402165056425394,-5.387422475300283e-15,-2.3876210753777665e-16,-5.14589245686711e-15,-4.3927086292960653e-16,0.3675370030517731,9.212544135251633e-07,1.0576887428351916e-11,4.606272067626994e-07,0.00010575393471605769,0.014911700850651036,0.969964169170482,0.01491170085064689,0.00010575393471603019,4.6062720676246385e-07
23,zero_stress_hold,40.0,0.0026496317159411392,0.018402165056425335,3.400058012914542e-16,1.5049940061365893e-16,-2.3713195578344973e-16,-1.4868498718746768e-17,0.016706221730245552,0.0,0.9999999999954257,-4.57434090606057e-12,-4.438735552637221e-15,0.0313605981166006,0.018402165056425255,-5.693522687379108e-15,-2.572954397953227e-16,-5.436318603555948e-15,-4.541393616483533e-16,0.38424322478201867,1.062229615020531e-06,1.0576887428349806e-11,5.311148075104074e-07,0.00011577679677032022,0.015563991146724673,0.9686394018788251,0.015563991146720298,0.00011577679677028916,5.311148075101235e-07
24,zero_stress_hold,40.0,0.0026441463702023722,0.018402165056425328,4.0766001685454967e-16,1.506649954702856e-16,-2.8919017720556776e-16,-2.9337939040218353e-17,0.0167062206078315,0.0,0.9999999999952259,-4.774070028190636e-12,-4.727925729842789e-15,0.03268262275901014,0.018402165056425394,-5.998150829910875e-15,-2.0932058691938206e-16,-5.790502789945292e-15,-4.8347730068857165e-16,0.40094944538985017,1.216773548146483e-06,1.0576887428347683e-11,6.083867740734105e-07,0.00012623856532114843,0.016214464427412197,0.9673173772362158,0.01621446442740754,0.0001262385653211133,6.083867740730724e-07
25,zero_stress_hold,40.0,0.0026386736756374486,0.018402165056425324,3.400058012914542e-16,2.291849024256039e-16,-3.4817924571866906e-16,-2.5653451598780554e-17,0.01670621937463712,0.0,0.9999999999950244,-4.9755755071601016e-12,-5.076104975561458e-15,0.03400191107799152,0.018402165056425394,-6.459834866041781e-15,-2.4291520579263436e-16,-6.216933535464223e-15,-5.091307522873522e-16,0.4176556647644873,1.3854862788785588e-06,1.0576887428345567e-11,6.927431394394788e-07,0.00013713737522283857,0.016863125420635998,0.9659980889170329,0.016863125420631002,0.00013713737522279935,6.927431394390799e-07
26,zero_stress_hold,40.0,0.0026332136015716832,0.01840216505642534,3.400058012914542e-16,1.3539804445181715e-16,-2.428663688367108e-16,-2.7261543649142843e-17,0.0167062180256366,0.0,0.999999999994824,-5.175970763104942e-12,-5.318971344398169e-15,0.03531846938382908,0.018402165056425394,-6.736717635742247e-15,-2.223057782699915e-16,-6.5143828751304826e-15,-5.36392295936495e-16,0.4343618827901239,1.5689648682255536e-06,1.0576887428343434e-11,7.844824341130124e-07,0.00014847136740605993,0.017509978842077004,0.964681530610995,0.017509978842071776,0.00014847136740601588,7.844824341125413e-07
27,zero_stress_hold,40.0,0.002627766117414157,0.01840216505642534,3.400058012914542e-16,1.6650977787583509e-16,-2.7798011966541156e-16,-1.9259094000839434e-17,0.016706216555830433,0.0,0.999999999994626,-5.37403455069807e-12,-5.59695146406358e-15,0.03663230397151049,0.01840216505642553,-7.073770599809253e-15,-2.192105679087212e-16,-6.8548376010395156e-15,-5.556513899373345e-16,0.4510680993459543,1.7678033827461996e-06,1.0576887428341342e-11,8.839016913733756e-07,0.00016023868885988666,0.018155029395206756,0.9633676960231157,0.01815502939520126,0.00016023868885983765,8.839016913728239e-07
28,zero_stress_hold,40.0,0.002622331192652935,0.018402165056425335,4.0766001685454967e-16,2.1607859471193798e-16,-3.5396617481471354e-16,-1.7777209859618035e-17,0.016706214960243382,0.0,0.9999999999944268,-5.573208561315823e-12,-5.950917638878294e-15,0.03794342112076479,0.018402165056425255,-7.516563725126358e-15,-2.326778905644764e-16,-7.288355858289935e-15,-5.734285997969525e-16,0.4677743143061977,1.9825929050335974e-06,1.0576887428339237e-11,9.91296452517119e-07,0.00017243749261388447,0.018798281771318946,0.962056578873662,0.018798281771313104,0.00017243749261383043,9.912964525164783e-07
29,zero_stress_hold,40.0,0.0026169087968433424,0.018402165056425314,4.0766001685454967e-16,2.227917349858063e-16,-3.5187696805044807e-16,-8.99316055923572e-18,0.016706213233925182,0.0,0.9999999999942262,-5.773825861865589e-12,-6.302794606928742e-15,0.03925182709610062,0.018402165056425255,-7.961918707911418e-15,-2.455495515337527e-16,-7.719315370270542e-15,-5.824217603561882e-16,0.4844805275401229,2.2139215441675316e-06,1.057688742833712e-11,1.1069607720841366e-06,0.00018506593772024536,0.019439740649561103,0.9607481728981255,0.01943974064955492,0.00018506593772018608,1.1069607720833952e-06
30,zero_stress_hold,40.0,0.0026114988996193303,0.018402165056425335,3.400058012914542e-16,2.591210031407834e-16,-3.9271030885559235e-16,-3.1935047935618445e-17,0.016706211371950885,0.0,0.9999999999940261,-5.973888050903042e-12,-6.695504915784334e-15,0.04055752814684398,0.01840216505642553,-8.448415648522067e-15,-2.4181478452989437e-16,-8.200285306984036e-15,-6.143568082918067e-16,0.5011867389120738,2.4623744461347614e-06,1.0576887428334998e-11,1.231187223067808e-06,0.00019812218923597326,0.020079410696966265,0.9594424718471822,0.0200794106969597,0.00019812218923590815,1.2311872230669536e-06
