set,path,s_over_b,s_angstrom,energy_ev_cell,energy_J_m2,relaxation
linear_profile,direct_110,0.0,0.0,0.0,0.0,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.07698003589195011,0.22028721909606513,0.009860174430031244,0.022276244578230533,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.08660254037844388,0.24782312148307326,0.012040956772157593,0.0272030986790194,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.09622504486493764,0.2753590238700814,0.01433209392854208,0.03237926792633471,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.1058475493514314,0.3028949262570895,0.016705937406456085,0.03774228845702548,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.11547005383792518,0.3304308286440977,0.019135715176051067,0.0432316765251911,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.12509255832441893,0.3579667310311058,0.02159554330265652,0.048788954782032254,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.1347150628109127,0.3855026334181139,0.024060447623233644,0.05435770124759951,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.14433756729740646,0.413038535805122,0.026506395320697294,0.05988362064394506,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.15396007178390023,0.44057443819213027,0.028910335926681106,0.06531463702914561,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.163582576270394,0.4681103405791384,0.031250250986927915,0.07060100600205005,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.17320508075688776,0.4956462429661465,0.03350521135758651,0.07569544414687798,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.18282758524338152,0.5231821453531547,0.035655440871378084,0.08055327286871726,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.1924500897298753,0.5507180477401628,0.037682384921602696,0.0851325733394747,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.20207259421636906,0.578253950127171,0.039568782364326226,0.08939434894030704,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.2116950987028628,0.605789852514179,0.04129873903654695,0.09330269135489538,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.2213176031893566,0.6333257549011873,0.042857801130773136,0.09682494633832175,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.23094010767585035,0.6608616572881953,0.0442330266576319,0.09993187516639876,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.2405626121623441,0.6883975596752034,0.04541305326430327,0.1025978078520285,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.25018511664883786,0.7159334620622116,0.046388160758130854,0.10480078439942207,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.2598076211353316,0.7434693644492197,0.04715032680914214,0.1065226806480159,rigid half crystals; fixed interface spacing
