model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,step,normal_load_MPa,shear_x_MPa,shear_y_MPa,equilibrium_residual_eV_L0,du_norm_L0,da_from_initial_L0,static_unload,physical_time_available
source_Al99,mixed_traction,0.8174764120118818,0.0028924758351956204,-0.0014426508581416512,3.228647747943736e-05,7.283168814536992e-05,0.02375058637244701,4.319695367432967,4.414733020331435,19.562705626876557,0.01904283363014428,149.99999999998525,19.56222070466658,-0.07664708046961118,0.038353018949939886,0.012695222420098684,100.00000000000986,-0.07664708046961118,4.388760469147228,-0.042742394498317696,-0.0063476112100486716,-49.999999999999645,0.038353018949939886,-0.042742394498317696,4.346152840827152,3,150,100,-50,1.8665624601510444e-15,0.003232283705940326,0.0009780703858126572,False,False
source_Al99,mixed_traction,0.8164983416260694,2.207781967838866e-17,-1.4492023923837447e-16,-3.04760661151704e-11,-6.874777047484976e-11,3.552790137228681e-15,4.393546621110359,4.393546621110365,19.660744714218286,3.5521197063765274e-15,2.7979972219732607e-11,19.660744714218286,-2.1044596024665438e-16,1.6253084178654046e-15,3.4774856404292796e-17,2.7392081251953293e-13,-2.1044596024665438e-16,4.393546621110359,-7.11337551158782e-17,5.961593849787202e-17,4.695934937185171e-13,1.6253084178654046e-15,-7.11337551158782e-17,4.393546621110365,4,0,0,0,3.5521197063765274e-15,1.208769424046727e-16,2.220446049250313e-16,True,False
source_Al99,compression_shear,0.8164983416260692,7.915107391918397e-18,-2.4875860836913193e-17,-3.047592733729232e-11,-6.87474574203475e-11,4.003416507573622e-15,4.393546621110373,4.3935466211103735,19.66074471421831,-4.0024300145742074e-15,-3.1527057046579026e-11,19.66074471421831,-8.942631253948911e-17,-8.84314985607544e-16,-3.974326768612054e-17,-3.130568836919639e-13,-8.942631253948911e-17,4.393546621110372,-3.5567045111391394e-17,7.948700662444891e-17,6.261174794276575e-13,-8.84314985607544e-16,-3.5567045111391394e-17,4.393546621110373,0,0,0,0,4.0024300145742074e-15,0.0,0.0,False,False
source_Al99,compression_shear,0.8161772737352709,0.001444090777791124,0.00043581541215019905,6.015381809318376e-06,1.3569470757242912e-05,0.00917663507362709,4.379304200758077,4.424726927249347,19.691995366038793,-0.006347611210049022,-50.0000000000024,19.69189111190998,-0.038271144203286755,-0.011453083004728613,0.006347611210048191,49.99999999999586,-0.038271144203286755,4.3954700984531065,-0.021690080114002693,0.0019042833630143882,14.999999999998215,-0.011453083004728613,-0.021690080114002693,4.40866528368313,1,-50,50,15,5.247538514829841e-16,0.0015084207794806527,-0.0003210678907982212,False,False
source_Al99,compression_shear,0.8155379965685227,0.0028800659509807115,0.0007314658923724359,2.8545421592141018e-05,6.439263139501688e-05,0.02310565357178862,4.373672920118157,4.463790941954233,19.75458161367322,-0.019042833630142666,-149.99999999997254,19.75417737689828,-0.07650109486790872,-0.018947154245688106,0.012695222420097043,99.99999999999694,-0.07650109486790872,4.4077443169326305,-0.04350728723875341,0.0031738056050239012,24.9999999999964,-0.018947154245688106,-0.04350728723875341,4.4301237819147,2,-150,100,25,3.479855292809475e-15,0.002971501679909104,-0.0009603450575464967,False,False
source_Al99,compression_shear,0.8164983416260693,1.5531812453129264e-16,-1.8811933003672277e-16,-3.0475941215080127e-11,-6.874748872579772e-11,1.5664990469847276e-15,4.393546621110365,4.393546621110373,19.660744714218318,-5.811341367999064e-16,-4.577581373288349e-12,19.660744714218318,-3.5574007199977854e-16,1.2518527116294381e-14,5.862052888121609e-16,4.617526731033531e-12,-3.5574007199977854e-16,4.393546621110372,-5.693640472366738e-17,-1.3313773839969411e-15,-1.0487231652509505e-11,1.2518527116294381e-14,-5.693640472366738e-17,4.3935466211103655,3,0,0,0,1.3313773839969411e-15,2.1994562895902213e-16,1.1102230246251565e-16,True,False
scoped_static_candidate,pure_x_shear,0.8164965809277507,-9.242602340934653e-17,-9.154071533249135e-17,2.3948387810680604e-15,5.402266362822382e-15,9.461313219808422e-16,3.9944937179762157,3.994493717976227,24.091909480581023,-3.1197000724089057e-16,-2.4573811857523665e-12,24.091909480581023,2.5650471138385328e-14,1.0644144258691593e-14,-7.423117948832171e-16,-5.847174396157764e-12,2.5650471138385328e-14,3.9944937179762228,5.730925196063177e-15,-4.968021660506236e-16,-3.913300213347587e-12,1.0644144258691593e-14,5.730925196063177e-15,3.99449371797622,0,0,0,0,7.423117948832171e-16,0.0,0.0,False,False
scoped_static_candidate,pure_x_shear,0.8164982485813794,0.0007946018341198793,3.647017751527165e-06,1.2610008587305606e-06,2.8445599664007797e-06,0.003173805605024295,3.9575506468168213,4.030885811438839,24.09243404601844,2.5387581715752943e-15,1.9997744722898756e-11,24.091925269177075,-0.10112067603568842,-3.212139470108248e-05,0.003173805605024295,24.999999999999503,-0.10112067603568842,3.99439988911328,-0.036666425643045876,-2.1994310323234692e-16,-1.7324871983665405e-12,-3.212139470108248e-05,-0.036666425643045876,3.994545345983749,1,0,25,0,2.5387581715752943e-15,0.0007946102035119507,1.6676536287452137e-06,False,False
scoped_static_candidate,pure_x_shear,0.8165032536353937,0.0015895439518155059,1.4592756336927665e-05,5.045623530924348e-06,1.1381894470750616e-05,0.006347611210048959,3.9200478224355257,4.066736093187644,24.09400773400569,2.1601967222707484e-15,1.7015824148547443e-11,24.09197288851648,-0.20223698395410697,-0.0001284437733530933,0.006347611210048959,50.000000000001904,-0.20223698395410697,3.994118426940051,-0.07333488432362245,8.662235085142091e-17,6.823224358345358e-13,-0.0001284437733530933,-0.07333488432362245,3.9947003341723266,2,0,50,0,2.1601967222707484e-15,0.0015896109345657698,6.6727076429851095e-06,False,False
scoped_static_candidate,pure_x_shear,0.8165568371429662,0.004779569009055763,0.00013178667215607982,4.556690491795763e-05,0.0001027896155859071,0.01904283363014591,3.7642778997370767,4.204915499519571,24.110793065677388,-1.632723048490439e-14,-1.2860925113889484e-10,24.092504661492864,-0.6065695911448974,-0.0011519338996500855,0.01904283363014591,149.9999999999981,-0.6065695911448974,3.991118482960393,-0.22006968259086315,-4.3153067585759673e-16,-3.399158057872647e-12,-0.0011519338996500855,-0.22006968259086315,3.996363320480779,3,0,150,0,1.632723048490439e-14,0.004781385535520554,6.025621521554836e-05,False,False
