index,eigenvalue
415,12.73815842730829
416,12.756064820153878
417,12.762614817005709
418,12.810431760216767
419,12.819137394745136
420,12.828513842224842
421,12.869948704824376
422,12.91809948999595
423,12.935912234086409
424,12.939569857528166
425,12.95837726079886
426,13.00283808098257
427,13.010444377706792
428,13.043284118707703
429,13.058950223057849
430,13.083146165977078
431,13.10042705614381
432,13.10908844373206
433,13.112678391823177
434,13.136314792437265
435,13.16383753138107
436,13.186053024364009
437,13.21047061748274
438,13.215637262382504
439,13.236808268736594
440,13.292374763224606
441,13.336458009292212
442,13.348142008892893
443,13.357005942643289
444,13.365394338437552
445,13.395668199852196
446,13.3973440462455
447,13.437974102246198
448,13.446547355335424
449,13.46830859411672
450,13.48611499616519
451,13.515109211236593
452,13.53739763958553
453,13.55280032574053
454,13.620570396295719
455,13.634164634137607
456,13.634614265172974
457,13.66085073547357
458,13.68027070896921
459,13.685946530925428
460,13.69816462038242
461,13.730327051472125
462,13.736098595706677
463,13.757413433997142
464,13.777901915933349
465,13.792084751500227
466,13.826003976776748
467,13.827140499788209
468,13.84395953937242
469,13.84842649178306
470,13.874097597216723
471,13.914682739886388
472,13.917331284898491
473,13.981756919204015
474,14.00191005127375
475,14.005688206178258
476,14.01027744278851
477,14.019888729329674
478,14.07447444614224
479,14.0888747345288
480,14.094480635499318
481,14.097018077817083
482,14.10147212546058
483,14.156991663513416
484,14.19253027135892
485,14.218504043305686
486,14.220005815450955
487,14.261674453260657
488,14.281081337049287
489,14.3013459841381
490,14.327329704629008
491,14.33282200031089
492,14.333756767052671
493,14.339628307385368
494,14.353912249765727
495,14.40545721692535
496,14.432026949344703
497,14.44561355947871
498,14.447852923503996
499,14.468609076366164
500,14.499621220009196
501,14.51257538947923
502,14.52654971315307
503,14.539318686653791
504,14.554839453256186
505,14.56106939391307
506,14.57176226560299
507,14.615015666153111
508,14.648059761692235
509,14.671145889923295
510,14.672715558647818
511,14.687879300968493
512,14.694944607265969
513,14.750299331658834
514,14.759272986928792
515,14.78668246348667
516,14.799464557968625
517,14.827965938005207
518,14.835444232799164
519,14.858094124590812
520,14.870859409053706
521,14.89239379883737
522,14.912699586824505
523,14.920448169478796
524,14.926745405398016
525,14.971836711622927
526,14.974302197369608
527,14.997778077314287
528,15.029402752513619
529,15.054650537639588
530,15.07635128755967
531,15.076929584011522
532,15.091733777339847
533,15.103692540130895
534,15.124841569362397
535,15.132912534359777
536,15.146976227024746
537,15.182283367730149
538,15.186554099377725
539,15.21379858514495
540,15.222420698317721
541,15.234674302174673
542,15.238401268718018
543,15.280173059976558
544,15.301596719781172
545,15.309802168468874
546,15.313085736085158
547,15.332787912935515
548,15.364659110093209
549,15.375924083585005
550,15.381502876528401
551,15.41907764843166
552,15.442094365114851
553,15.468541824943014
554,15.475627678468975
555,15.493434375446892
556,15.525016404244749
557,15.554907736890856
558,15.559867385188968
559,15.57057959849954
560,15.586495672261194
561,15.587601855736139
562,15.637033199224406
563,15.643101069088445
564,15.655432212251073
565,15.660875804975463
566,15.684492931587071
567,15.68716483531754
568,15.703452962936936
569,15.738433435729162
570,15.746617476173704
571,15.783844730032829
572,15.786789340477206
573,15.801743102868413
574,15.810528474456634
575,15.818281229743937
576,15.84539292037392
577,15.847992083598937
578,15.887982651053353
579,15.901621633977989
580,15.91910953115124
581,15.93312982814265
582,15.946727341250805
583,15.958397276607451
584,15.974512456124694
585,15.97725865713373
586,15.986638523744004
587,15.996385341601181
588,16.002644087008214
589,16.00390123398698
590,16.038486163420735
591,16.042841937836165
592,16.071433993137266
593,16.10828773036451
594,16.122093428065135
595,16.135725685787158
596,16.147485128293813
597,16.170402147606953
598,16.193323405519855
599,16.193612151514554
600,16.23447142214241
601,16.25644421342143
602,16.27609196292121
603,16.278043642043418
604,16.30573688656024
605,16.306511248544265
606,16.327951077094514
607,16.3428049899736
608,16.348948331779965
609,16.35817698419416
610,16.394373879408853
611,16.404131639043758
612,16.420456831154556
613,16.436046592180976
614,16.446840415833538
615,16.472564813722084
616,16.479282556056575
617,16.49383197444764
618,16.505466754752145
619,16.513688258650934
620,16.52684698718684
621,16.548087759064174
622,16.56177995823967
623,16.566246367129825
624,16.58258888427893
625,16.60408034707919
626,16.612139218021714
