model,role,order,radius_A,reference,prediction,error
quadratic_density_gauge,fit,2,5.1,-0.0995321832173856,-0.004749057442567129,0.09478312577481848
quadratic_density_gauge,fit,2,5.35,-0.13635440979149863,-0.0026543274304468185,0.1337000823610518
quadratic_density_gauge,fit,2,5.6,-0.11576222668981705,-0.0014542385619295628,0.11430798812788748
quadratic_density_gauge,fit,2,5.85,0.03898624740440347,-0.0007836976521928795,-0.039769945056596354
quadratic_density_gauge,fit,2,6.1,0.01863339276840556,-0.0004164359758734346,-0.019049828744278994
quadratic_density_gauge,excluded,0,2.225,0.7143413571460389,0.7360775238670972,0.02173616672105838
quadratic_density_gauge,excluded,0,2.475,0.21239059629627635,0.12982091349904534,-0.08256968279723101
quadratic_density_gauge,excluded,0,2.725,0.0014416022435731638,-0.017907423666773472,-0.019349025910346637
quadratic_density_gauge,excluded,0,2.975,-0.06032310043367308,-0.04447400490180654,0.015849095531866544
quadratic_density_gauge,excluded,0,3.225,-0.06667178808736414,-0.038992332554687745,0.027679455532676395
quadratic_density_gauge,excluded,0,3.475,-0.05861878896828662,-0.027637707355177257,0.030981081613109366
quadratic_density_gauge,excluded,0,3.725,-0.05016368373657208,-0.01778016244758327,0.03238352128898881
quadratic_density_gauge,excluded,0,3.975,-0.05388149827260093,-0.01079899663500578,0.043082501637595146
quadratic_density_gauge,excluded,0,4.225,-0.05489701651067258,-0.006306774731345617,0.04859024177932696
quadratic_density_gauge,excluded,0,4.475,-0.04946974228890929,-0.0035778868675489404,0.04589185542136035
quadratic_density_gauge,excluded,0,4.725,-0.037191631962907284,-0.0019841628699643968,0.03520746909294289
quadratic_density_gauge,excluded,0,4.975,-0.0193379638813844,-0.0010801218702915334,0.018257842011092866
quadratic_density_gauge,excluded,0,5.225,-0.0036269154103260835,-0.000578840971328873,0.0030480744389972106
quadratic_density_gauge,excluded,0,5.475,0.004006882575746419,-0.0003059824312317142,-0.004312865006978133
quadratic_density_gauge,excluded,0,5.725,0.003739392962530044,-0.0001597530768596974,-0.0038991460393897415
quadratic_density_gauge,excluded,0,5.975,0.0002463954613845509,-8.243770024636031e-05,-0.0003288331616309112
quadratic_density_gauge,excluded,1,2.225,-2.5638026529466194,-4.524991524356991,-1.9611888714103713
quadratic_density_gauge,excluded,1,2.475,-1.3571658179521564,-1.1150545531382654,0.242111264813891
quadratic_density_gauge,excluded,1,2.725,-0.4447758033944891,-0.24966970335951297,0.1951061000349761
quadratic_density_gauge,excluded,1,2.975,-0.10107145675427381,-0.013478084852171,0.08759337190210281
quadratic_density_gauge,excluded,1,3.225,0.01788669282734586,0.04215639762559183,0.024269704798245965
quadratic_density_gauge,excluded,1,3.475,0.04274855167246687,0.044470340820749125,0.0017217891482822559
quadratic_density_gauge,excluded,1,3.725,0.006235054796434932,0.033709959164919395,0.027474904368484463
quadratic_density_gauge,excluded,1,3.975,-0.019338859146711344,0.02247885194284259,0.041817711089553934
quadratic_density_gauge,excluded,1,4.225,0.009809885345139862,0.013966500689804163,0.004156615344664301
quadratic_density_gauge,excluded,1,4.475,0.034447026401063126,0.00828709333127871,-0.026159933069784418
quadratic_density_gauge,excluded,1,4.725,0.06420445551602848,0.004757370509130779,-0.0594470850068977
quadratic_density_gauge,excluded,1,4.975,0.07273317662722455,0.0026629618507487394,-0.0700702147764758
quadratic_density_gauge,excluded,1,5.225,0.0480051126804229,0.0014608079864527627,-0.04654430469397014
quadratic_density_gauge,excluded,1,5.475,0.013818761411382234,0.0007880460749057429,-0.01303071533647649
quadratic_density_gauge,excluded,1,5.725,-0.013761038968051082,0.00041907242656067935,0.01418011139461176
quadratic_density_gauge,excluded,1,5.975,-0.0066129403580931015,0.0002200557910166391,0.00683299614910974
quadratic_density_gauge,excluded,2,2.225,3.287781142069527,26.01944544225944,22.731664300189912
quadratic_density_gauge,excluded,2,2.475,5.0216860947091515,6.227472313041266,1.2057862183321149
quadratic_density_gauge,excluded,2,2.725,2.277363582517566,1.6918449534565356,-0.5855186290610304
quadratic_density_gauge,excluded,2,2.975,0.8748273682851495,0.44554262174503245,-0.42928474654011706
quadratic_density_gauge,excluded,2,3.225,0.14491118058719757,0.07295510683877818,-0.07195607374841939
quadratic_density_gauge,excluded,2,3.475,0.053980991473446364,-0.030733698425573493,-0.08471468989901985
quadratic_density_gauge,excluded,2,3.725,-0.30196215912499696,-0.047963536953634485,0.2539986221713625
quadratic_density_gauge,excluded,2,3.975,0.09736125828492129,-0.040123653980622426,-0.1374849122655437
quadratic_density_gauge,excluded,2,4.225,0.09571777942474434,-0.028030733387532227,-0.12374851281227657
quadratic_density_gauge,excluded,2,4.475,0.10975833348804613,-0.017903353537524664,-0.1276616870255708
quadratic_density_gauge,excluded,2,4.725,0.1046656322329554,-0.010821102582416925,-0.11548673481537232
quadratic_density_gauge,excluded,2,4.975,-0.03677278102737831,-0.006295635699316327,0.030477145328061984
quadratic_density_gauge,excluded,2,5.225,-0.14658784522328236,-0.0035602504868302667,0.1430275947364521
quadratic_density_gauge,excluded,2,5.475,-0.12829892373871687,-0.0019691202536491394,0.12632980348506773
quadratic_density_gauge,excluded,2,5.725,-0.06958978052292884,-0.0010695811037624253,0.06852019941916641
quadratic_density_gauge,excluded,2,5.975,0.08624514383646689,-0.0005722157963145066,-0.0868173596327814
