model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,robust_margin,normalized_density,normalized_density_truncation
nested_range,0.99,12.0,0.56,0.48,0.0,18.623250535275925,0.0002584584340839829,18.622992076841843,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.48,0.08,18.746166130239136,0.0002584574409148236,18.74590767279822,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.48,0.16,19.086866369251204,0.0002584538054294938,19.086607915445775,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.48,0.24,19.54739583079838,0.00025844648135929646,19.54713738431702,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.48,0.32,19.945940724843915,0.00025843509112798043,19.94568228975279,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.48,0.4,20.014349975064643,0.00025842036655760744,20.014091554698087,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.56,0.0,19.79825724113509,0.00025843444279681174,19.797998806692295,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.56,0.08,19.89875347107872,0.00025843413784711934,19.898495036940872,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.56,0.16,20.152854899945304,0.0002584321596712225,20.15259646778563,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.56,0.24,20.434042107104215,0.0002584271207270594,20.433783679983488,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.56,0.32,20.576383090214158,0.0002584193017756567,20.57612467091238,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.64,0.0,0.0,34.232621738482884,0.0002585090151141083,34.23236322946777,1.0356264383129798,4.52556902145815e-09
