model,a_over_h,energy_J_m2,source_energy_J_m2,traction_MPa,source_traction_MPa,Haa,source_Haa,rank1_Haa
positive_pair_refinement,1.035,0.020903590792151087,0.017212798344876237,4663.455022056776,4103.472969039556,16.164633901917995,16.90166910832563,10.055858756135267
positive_pair_refinement,1.0375,0.023705317094990005,0.019690734269007422,4921.660149801322,4373.883921853478,15.967186915430869,16.72786632420293,9.840941079597993
positive_pair_refinement,1.04,0.026657186601578144,0.02232586792368836,5177.368158896633,4641.313382924404,15.852877011717027,16.548204851575456,9.628387983533878
positive_pair_refinement,1.0425,0.029758118035943047,0.025116522211205965,5431.850342674273,4906.019887951538,15.81290909433557,16.37000265167643,9.418201831421111
positive_pair_refinement,1.045,0.033007725531786006,0.028061057499858728,5686.203220896982,5167.686586166177,15.834230998355858,16.173163667497242,9.210384151716852
positive_pair_refinement,1.0475,0.03640619553659825,0.031157662467476605,5941.275524398694,5426.386216109951,15.899010085856178,16.006481870189294,9.004935660538422
positive_pair_refinement,1.05,0.03995411906275417,0.03440469143206087,6197.589394519963,5682.25740355467,15.984467314627855,15.809726324288011,8.801856284027924
positive_pair_refinement,1.0525,0.043652277871417546,0.0378003359984383,6455.263024857378,5934.879506475724,16.063252793955822,15.619082076807494,8.601145180401682
positive_pair_refinement,1.055,0.04750138824810666,0.04134280646893968,6713.944812961206,6184.6334672036155,16.10452433375886,15.439480062706124,8.402800761682455
positive_pair_refinement,1.0574999999999999,0.0515018125767591,0.045030350041003364,6972.771157799304,6431.105066622213,16.075815083815893,15.235560831208021,8.206820715113208
positive_pair_refinement,1.06,0.05565325623200817,0.04886102223931566,7230.360427714632,6674.390596082411,15.945643458473107,15.047414272667636,8.013202024251733
positive_pair_refinement,1.0625,0.059954474146242054,0.05283302377834881,7484.853493186501,6914.5644469776025,15.686642348979603,14.830963289111171,7.82194098974532
positive_pair_refinement,1.065,0.06440301614408028,0.0569444069027505,7734.006143157641,7151.26232694173,15.278802591703363,14.605604041867316,7.6330332497850835
positive_pair_refinement,1.0675,0.06899504110544957,0.061193132592582855,7975.33102240186,7384.502339405471,14.712293738329828,14.395372135578693,7.446473800240186
positive_pair_refinement,1.07,0.07372522602470018,0.06557718595632653,8206.277724632344,7614.23102635107,13.989301283725197,14.189547293270163,7.262257014470794
positive_pair_refinement,1.0725,0.07858678688313264,0.07009449663414882,8424.431419720822,7840.344665616181,13.12443890826014,13.945306350292094,7.08037666282165
positive_pair_refinement,1.075,0.08357161505888361,0.07474286287818127,8627.705181209727,8062.648606513989,12.143547591403598,13.705399360738726,6.900825931794887
positive_pair_refinement,1.0775,0.0886705180968169,0.07952006521592309,8814.50074412432,8281.125232729697,11.081020541113695,13.465014555796188,6.72359744290358
positive_pair_refinement,1.08,0.09387354004900796,0.08442378354411285,8983.817221087002,8495.478862036998,9.9761001930535,13.214364298923234,6.54868327120676
positive_pair_refinement,1.0825,0.09917032709031492,0.08945162619637374,9135.29625257686,8705.750533605049,8.868789388407231,12.9437927834224,6.376074963526409
positive_pair_refinement,1.085,0.10455050051171504,0.09460116073759378,9269.202874791405,8911.88511139024,7.7960500709617735,12.696023227567075,6.205763556347563
