grid,s_reduced,fixed_domain_F_minus_F0_ev,conditional_a_over_h,sampled_min_a_over_h
grid_a31_s25_upper2.npz,0.28,0.1229498888397241,1.0804760750429863,1.0564516129032258
grid_a31_s25_upper2.npz,0.32000000000000006,0.14281943429837532,1.0927827983080982,1.0983870967741935
grid_a31_s25_upper2.npz,0.3600000000000001,0.1594053781491025,1.1033920918766704,1.0983870967741935
grid_a31_s25_upper2.npz,0.4,0.17218138230364222,1.1118029271960095,1.0983870967741935
grid_a31_s25_upper2.npz,0.43999999999999995,0.18083440687712504,1.117631698652226,1.0983870967741935
grid_a31_s25_upper2.npz,0.48,0.1851965862260582,1.1206140889903606,1.0983870967741935
grid_a61_s25_upper2.npz,-0.48,0.18519705608824077,1.1206140924231498,1.0942622950819672
grid_a61_s25_upper2.npz,-0.43999999999999995,0.18083473112167228,1.1176306034185954,1.0942622950819672
grid_a61_s25_upper2.npz,-0.3999999999999999,0.1721813561313288,1.111800028232696,1.0942622950819672
grid_a61_s25_upper2.npz,-0.36,0.15940495785778264,1.10338876920083,1.0942622950819672
grid_a61_s25_upper2.npz,-0.32000000000000006,0.14281919864571202,1.092783064936941,1.0729508196721311
grid_a61_s25_upper2.npz,-0.28,0.1229504864251253,1.0804798742645194,1.0729508196721311
grid_a61_s25_upper2.npz,-0.24,0.10061296525187957,1.0670839742142213,1.0516393442622949
grid_a61_s25_upper2.npz,-0.19999999999999996,0.0769729415257934,1.0533131034373597,1.0303278688524589
grid_a61_s25_upper2.npz,-0.15999999999999992,0.05357332709017362,1.0400047312775462,1.0303278688524589
grid_a61_s25_upper2.npz,-0.11999999999999988,0.03227836130758063,1.0281058947538169,1.009016393442623
grid_a61_s25_upper2.npz,-0.07999999999999996,0.01509995993753814,1.0186173731722774,1.009016393442623
grid_a61_s25_upper2.npz,-0.040000000000000036,0.0038965414096168854,1.0124687441437985,1.009016393442623
grid_a61_s25_upper2.npz,0.0,0.0,1.0103360504401058,1.009016393442623
grid_a61_s25_upper2.npz,0.040000000000000036,0.0038965414096168854,1.0124687441437985,1.009016393442623
grid_a61_s25_upper2.npz,0.08000000000000007,0.01509995993753814,1.0186173731722774,1.009016393442623
grid_a61_s25_upper2.npz,0.1200000000000001,0.03227836130758063,1.0281058947538169,1.009016393442623
grid_a61_s25_upper2.npz,0.16000000000000003,0.05357332709017362,1.0400047312775462,1.0303278688524589
grid_a61_s25_upper2.npz,0.19999999999999996,0.0769729415257934,1.0533131034373597,1.0303278688524589
grid_a61_s25_upper2.npz,0.24,0.10061296525187957,1.0670839742142213,1.0516393442622949
grid_a61_s25_upper2.npz,0.28,0.1229504864251253,1.0804798742645194,1.0729508196721311
