candidate,metric,target,reference,prediction,units,role,scale,error,normalized_residual
cubic_5pct,independent_cubic,direct_half_energy,0.26732847628894163,0.2887142045717736,eV/cell,heldout,0.026732847628894163,0.021385728282831973,0.7999794327828075
cubic_5pct,independent_cubic,oblique_energy,0.13339289745734875,0.12125399621767481,eV/cell,heldout,0.013339289745734876,-0.012138901239673941,-0.9100110628870065
cubic_5pct,independent_cubic,opening_1.25h_energy,0.24853683654490819,0.19505657270728025,eV/cell,heldout,0.02485368365449082,-0.05348026383762794,-2.151804319275005
cubic_5pct,independent_cubic,opening_3h_energy,0.7719163228888833,0.7632380770367425,eV/cell,heldout,0.07719163228888834,-0.008678245852140831,-0.11242469675550644
cubic_5pct,independent_cubic,saddle_Haa,12.717337762538286,17.676838834704547,eV/L0^2,heldout,1.2717337762538286,4.959501072166262,3.899795039474034
cubic_5pct,independent_cubic,saddle_Hxx,-0.18642463121762062,0.49288939881858945,eV/L0^2,heldout,0.018642463121762064,0.67931403003621,36.43907060989278
cubic_5pct,independent_cubic,fault_Haa,14.140554350039636,18.386525365614716,eV/L0^2,heldout,1.4140554350039638,4.24597101557508,3.002690637487757
cubic_5pct,independent_cubic,fault_Hxx,2.4858929774856264,2.47887292722822,eV/L0^2,heldout,0.24858929774856264,-0.007020050257406485,-0.028239551424723695
bulk_exact,legacy_modes,normal_strain_force_ev,0.0,-5.684341886080802e-14,eV/strain,exact,0.1,-5.684341886080802e-14,-5.684341886080801e-13
bulk_exact,legacy_modes,cohesive_ev_atom,3.36,3.3599999999999595,eV/atom,exact,0.0672,-4.04121180963557e-14,-6.013708050052932e-13
bulk_exact,legacy_modes,hydrostatic_strain_curvature_ev,74.01042469890372,74.01042469890379,eV/strain^2,fit,3.700521234945186,7.105427357601002e-14,1.9201152774107108e-14
bulk_exact,legacy_modes,normal_strain_curvature_ev,12.646038954154417,12.646038954154537,eV/strain^2,fit,0.6323019477077209,1.2079226507921703e-13,1.9103573145255088e-13
bulk_exact,legacy_modes,simple_shear_strain_curvature_ev,2.90236959603544,2.9023695960354527,eV/strain^2,fit,0.145118479801772,1.2878587085651816e-14,8.874532797782629e-14
bulk_exact,legacy_modes,perfect_Haa,19.66091286328976,23.442007114773983,eV/L0^2,fit,1.9660912863289761,3.781094251484223,1.9231529470557613
bulk_exact,legacy_modes,perfect_Hxx,4.393593035123306,4.710392303479648,eV/L0^2,fit,0.43935930351233066,0.3167992683563421,0.7210482760323547
bulk_exact,legacy_modes,saddle_energy_at_source_state,0.07624909750742465,0.018433405092223413,eV/cell,fit,0.007624909750742465,-0.057815692415201236,-7.582475636458716
bulk_exact,legacy_modes,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.009334077635037907,eV/L0,fit,0.03173805605024358,0.009334077635036417,0.29409733287570966
bulk_exact,legacy_modes,fault_energy_at_source_state,0.06670794504308616,0.014692477118469542,eV/cell,fit,0.006670794504308616,-0.05201546792461662,-7.797492171437783
bulk_exact,legacy_modes,fault_normal_force_at_source_state,5.29078226360765e-15,0.291896801663582,eV/L0,fit,0.03173805605024358,0.29189680166357673,9.197059870380325
bulk_exact,legacy_modes,saddle_path_force_at_source_state,2.296700476743968e-16,0.029219957583247858,eV/L0,fit,0.03173805605024358,0.02921995758324763,0.9206599653422496
bulk_exact,legacy_modes,opening_1.1h_energy,0.05670265774764735,0.03789172916756779,eV/cell,fit,0.005670265774764736,-0.01881092858007956,-3.3174685856519734
bulk_exact,legacy_modes,opening_1.5h_energy,0.4710312483934004,0.392807238993897,eV/cell,fit,0.04710312483934004,-0.07822400939950336,-1.660696815048064
bulk_exact,legacy_modes,opening_2h_energy,0.7060534019484034,0.6283255912240899,eV/cell,fit,0.07060534019484034,-0.07772781072431345,-1.1008772213237434
bulk_exact,legacy_modes,opening_40h_energy,0.7719163228888833,0.7718132660460166,eV/cell,fit,0.07719163228888834,-0.00010305684286671113,-0.001335077906903467
bulk_exact,legacy_modes,direct_quarter_energy,0.117221996542065,0.2247729338800528,eV/cell,heldout,0.0117221996542065,0.10755093733798779,9.174979143047887
bulk_exact,legacy_modes,direct_half_energy,0.26732847628894163,0.6871633792853488,eV/cell,heldout,0.026732847628894163,0.41983490299640713,15.704832826811504
bulk_exact,legacy_modes,oblique_energy,0.13339289745734875,0.055684105016219856,eV/cell,heldout,0.013339289745734876,-0.0777087924411289,-5.82555697659807
bulk_exact,legacy_modes,opening_1.25h_energy,0.24853683654490819,0.12929191563248607,eV/cell,heldout,0.02485368365449082,-0.11924492091242211,-4.797877150531596
bulk_exact,legacy_modes,opening_3h_energy,0.7719163228888833,0.006016165045689803,eV/cell,heldout,0.07719163228888834,-0.7659001578431935,-9.922061953254538
bulk_exact,legacy_modes,saddle_Haa,12.717337762538286,22.190292610206345,eV/L0^2,heldout,1.2717337762538286,9.47295484766806,7.448850557050338
bulk_exact,legacy_modes,saddle_Hxx,-0.18642463121762062,1.1654492815336885,eV/L0^2,heldout,0.018642463121762064,1.351873912751309,72.51584213532463
bulk_exact,legacy_modes,fault_Haa,14.140554350039636,12.929568068610962,eV/L0^2,heldout,1.4140554350039638,-1.2109862814286743,-0.8563923672661954
bulk_exact,legacy_modes,fault_Hxx,2.4858929774856264,1.6760223306849833,eV/L0^2,heldout,0.24858929774856264,-0.8098706468006431,-3.257866103390309
bulk_exact,independent_cubic,normal_strain_force_ev,0.0,-5.684341886080802e-14,eV/strain,exact,0.1,-5.684341886080802e-14,-5.684341886080801e-13
