occupation,charge_rate,time_model,survival,projected_hard_basin_limit_survival,difference_from_limit,MFPT_model,hard_basin_limit_MFPT_model,boundary_charge_rate,spatial_rate
0.02,1000.0,0.2,0.9981363360268013,0.9970429006656347,0.0010934353611665726,7.646941246993178,7.5,20.0,0.4
0.02,1000.0,2.0,0.8491249505439965,0.8415099111074295,0.00761503943656705,7.646941246993178,7.5,20.0,0.4
0.02,1000.0,8.0,0.35286066412569045,0.344831136903223,0.00802952722246747,7.646941246993178,7.5,20.0,0.4
0.02,1000.0,20.0,0.057893338244133986,0.05513208658858152,0.0027612516555524658,7.646941246993178,7.5,20.0,0.4
0.02,10000.0,0.0,1.0,1.0,0.0,7.514699412047231,7.5,200.0,0.4
0.02,10000.0,0.2,0.9971841800835253,0.9970429006656347,0.00014127941789054965,7.514699412047231,7.5,200.0,0.4
0.02,10000.0,2.0,0.8422882504090557,0.8415099111074295,0.0007783393016262963,7.514699412047231,7.5,200.0,0.4
0.02,10000.0,8.0,0.34563509818147337,0.344831136903223,0.0008039612782503869,7.514699412047231,7.5,200.0,0.4
0.02,10000.0,20.0,0.05540445988536642,0.05513208658858152,0.0002723732967849016,7.514699412047231,7.5,200.0,0.4
0.02,100000.0,0.0,1.0,1.0,0.0,7.501469994118111,7.5,2000.0,0.4
0.02,100000.0,0.2,0.9970573543772091,0.9970429006656347,1.4453711574380357e-05,7.501469994118111,7.5,2000.0,0.4
0.02,100000.0,2.0,0.8415879120272418,0.8415099111074295,7.80009198123599e-05,7.501469994118111,7.5,2000.0,0.4
0.02,100000.0,8.0,0.3449115416772188,0.344831136903223,8.040477399584578e-05,7.501469994118111,7.5,2000.0,0.4
0.02,100000.0,20.0,0.0551592861636917,0.05513208658858152,2.7199575110180285e-05,7.501469994118111,7.5,2000.0,0.4
0.2,0.01,0.0,1.0,1.0,0.0,423.78703890344315,7.5,0.002,0.4
0.2,0.01,0.2,0.9994082646761163,0.9970429006656347,0.0023653640104815965,423.78703890344315,7.5,0.002,0.4
0.2,0.01,2.0,0.9681306251744133,0.8415099111074295,0.12662071406698383,423.78703890344315,7.5,0.002,0.4
0.2,0.01,8.0,0.8658117783952415,0.344831136903223,0.5209806414920185,423.78703890344315,7.5,0.002,0.4
0.2,0.01,20.0,0.795579911842805,0.05513208658858152,0.7404478252542235,423.78703890344315,7.5,0.002,0.4
0.2,0.1,0.0,1.0,1.0,0.0,61.03846153846157,7.5,0.020000000000000004,0.4
0.2,0.1,0.2,0.9994054284028345,0.9970429006656347,0.0023625277371998044,61.03846153846157,7.5,0.020000000000000004,0.4
0.2,0.1,2.0,0.9666048383265549,0.8415099111074295,0.1250949272191254,61.03846153846157,7.5,0.020000000000000004,0.4
0.2,0.1,8.0,0.8390901628129477,0.344831136903223,0.4942590259097247,61.03846153846157,7.5,0.020000000000000004,0.4
0.2,0.1,20.0,0.6826878890998991,0.05513208658858152,0.6275558025113176,61.03846153846157,7.5,0.020000000000000004,0.4
0.2,1.0,0.0,1.0,1.0,0.0,16.69480519480519,7.5,0.2,0.4
0.2,1.0,0.2,0.9993773445682477,0.9970429006656347,0.002334443902612948,16.69480519480519,7.5,0.2,0.4
0.2,1.0,2.0,0.9528253436391184,0.8415099111074295,0.11131543253168896,16.69480519480519,7.5,0.2,0.4
