occupation,charge_rate,intervals,diffusion,length,mean_time_numerical,mean_time_discrete_exact,mean_time_continuum_exact,fast_absorbing_mean_time,discrete_formula_relative_error,linear_system_max_residual,continuum_relative_error,excess_over_fast_boundary,continuum_excess,charge_to_grid_rate_ratio,cells_across_charge_boundary_layer
0.2,0.01,1024,0.4,1.0,404.5777933986221,404.57779016436433,404.5777909723054,1.25,7.994155451883711e-09,8.534797113490811e-08,5.997157306423808e-09,403.3277933986221,403.3277909723054,2.3841857910156248e-08,6476.344648024841
0.2,1.0,8,0.4,1.0,8.103266395153547,8.10326639515377,8.13364827098168,1.25,2.7621079062424707e-14,9.592326932761353e-14,-0.003735331897314375,6.853266395153547,6.883648270981681,0.0390625,5.059644256269407
0.2,1.0,16,0.4,1.0,8.126010722757112,8.126010722756266,8.13364827098168,1.25,1.040542382237613e-13,2.9665159217984183e-13,-0.0009390064544365824,6.876010722757112,6.883648270981681,0.009765625,10.119288512538814
0.2,1.0,32,0.4,1.0,8.131736233838291,8.131736233841803,8.13364827098168,1.25,4.3187055882100763e-13,9.094947017729282e-13,-0.00023507743139215438,6.881736233838291,6.883648270981681,0.00244140625,20.23857702507763
0.2,1.0,64,0.4,1.0,8.133170095761766,8.133170095749321,8.13364827098168,1.25,1.5301728440847965e-12,6.630695992271285e-12,-5.878975878761737e-05,6.883170095761766,6.883648270981681,0.0006103515625,40.47715405015526
0.2,1.0,128,0.4,1.0,8.133528716749808,8.133528716796912,8.13364827098168,1.25,5.791293785328451e-12,2.2958523970828537e-11,-1.4698721642430814e-05,6.883528716749808,6.883648270981681,0.000152587890625,80.95430810031051
0.2,1.0,256,0.4,1.0,8.133618381947127,8.133618381786869,8.13364827098168,1.25,1.9703110898223077e-11,1.0154077578761189e-10,-3.674739004963642e-06,6.883618381947127,6.883648270981681,3.814697265625e-05,161.90861620062103
0.2,1.0,512,0.4,1.0,8.133640797884475,8.133640798642437,8.13364827098168,1.25,9.318859786805427e-11,4.376943252282217e-10,-9.187878498025612e-07,6.883640797884475,6.883648270981681,9.5367431640625e-06,323.81723240124205
0.2,1.0,1024,0.4,1.0,8.133646405471913,8.133646402894335,8.13364827098168,1.25,3.169030389400739e-10,2.0446955240061016e-09,-2.2935707395301734e-07,6.883646405471913,6.883648270981681,2.384185791015625e-06,647.6344648024841
0.2,100.0,8,0.4,1.0,1.699857245693098,1.6998572456930896,1.882455532033699,1.25,4.963766815436819e-15,4.263256414560601e-14,-0.09700005298044524,0.44985724569309804,0.6324555320336991,3.90625,0.5059644256269407
0.2,100.0,16,0.4,1.0,1.8170159295507546,1.8170159295507342,1.882455532033699,1.25,1.1242666242421895e-14,1.1368683772161603e-13,-0.0347628941929094,0.5670159295507546,0.6324555320336991,0.9765625,1.0119288512538813
0.2,100.0,32,0.4,1.0,1.8639953875569142,1.8639953875568882,1.882455532033699,1.25,1.3937383616747706e-14,4.547473508864641e-13,-0.009806417289890295,0.6139953875569142,0.6324555320336991,0.244140625,2.0238577025077626
0.2,100.0,64,0.4,1.0,1.8776848069732952,1.877684806973345,1.882455532033699,1.25,2.648899928171655e-14,9.805489753489383e-13,-0.0025343095649382253,0.6276848069732952,0.6324555320336991,0.06103515625,4.047715405015525
0.2,100.0,128,0.4,1.0,1.8812526591941308,1.8812526591942342,1.882455532033699,1.25,5.500206757947302e-14,6.0964566728216596e-12,-0.0006389913701009496,0.6312526591941308,0.6324555320336991,0.0152587890625,8.09543081003105
0.2,100.0,256,0.4,1.0,1.8821541692687587,1.8821541692694383,1.882455532033699,1.25,3.6111735519484e-13,2.1934454252914293e-11,-0.00016009024373332242,0.6321541692687587,0.6324555320336991,0.003814697265625,16.1908616200621
0.2,100.0,512,0.4,1.0,1.882380150932227,1.8823801509379754,1.882455532033699,1.25,3.0537353092226785e-12,8.731149137020111e-11,-4.004402770170377e-05,0.6323801509322271,0.6324555320336991,0.00095367431640625,32.3817232401242
0.2,100.0,1024,0.4,1.0,1.882436684221679,1.882436684232596,1.882455532033699,1.25,5.799304217017835e-12,3.751594590539753e-10,-1.0012354448358834e-05,0.6324366842216791,0.6324555320336991,0.0002384185791015625,64.7634464802484
0.2,10000.0,8,0.4,1.0,1.2563674815299382,1.256367481529822,1.3132455532033676,1.25,9.243261233917479e-14,1.616484723854228e-12,-0.043311071211844666,0.006367481529938157,0.06324555320336755,390.625,0.05059644256269407
0.2,10000.0,16,0.4,1.0,1.2625456436875084,1.2625456436873634,1.3132455532033676,1.25,1.148434733754067e-13,3.538502824085299e-12,-0.038606572390203854,0.012545643687508434,0.06324555320336755,97.65625,0.10119288512538814
0.2,10000.0,32,0.4,1.0,1.273729758895652,1.2737297588956353,1.3132455532033676,1.25,1.3074473021511513e-14,2.3874235921539366e-12,-0.030090179411859163,0.023729758895651987,0.06324555320336755,24.4140625,0.20238577025077628
0.2,10000.0,64,0.4,1.0,1.2897945623321714,1.289794562331869,1.3132455532033676,1.25,2.344751332810144e-13,5.4569682106375694e-12,-0.017857277958408274,0.03979456233217138,0.06324555320336755,6.103515625,0.40477154050155256
