cut,opening_angstrom,energy_eV_surface_cell,energy_J_m2
glide,1.85,6.437794307670956,8.075980831019475
glide,1.9000000000000001,6.475718574942576,8.123555456874037
glide,1.9500000000000002,6.495182964841746,8.147972832173815
glide,2.0,6.502768803592559,8.157488993363646
glide,2.0500000000000003,6.504669629787529,8.159873511287024
glide,2.1,6.504893516443616,8.160154369024392
glide,2.15,6.504899991461457,8.160162491700802
glide,2.2,6.504899999875917,8.16016250225644
glide,2.25,6.504899999875917,8.16016250225644
glide,2.3000000000000003,6.504899999875917,8.16016250225644
glide,2.35,6.504899999875917,8.16016250225644
glide,2.4000000000000004,6.504899999875917,8.16016250225644
glide,2.45,6.504899999875917,8.16016250225644
glide,2.5,6.504899999875917,8.16016250225644
glide,2.5500000000000003,6.504899999875917,8.16016250225644
glide,2.6,6.504899999875917,8.16016250225644
glide,2.6500000000000004,6.504899999875917,8.16016250225644
glide,2.7,6.504899999875917,8.16016250225644
glide,2.75,6.504899999875917,8.16016250225644
glide,2.8000000000000003,6.504899999875917,8.16016250225644
glide,2.85,6.504899999875917,8.16016250225644
glide,2.9000000000000004,6.504899999875917,8.16016250225644
glide,2.95,6.504899999875917,8.16016250225644
glide,3.0,6.504899999875917,8.16016250225644
glide,3.0500000000000003,6.504899999875917,8.16016250225644
glide,3.1,6.504899999875917,8.16016250225644
glide,3.1500000000000004,6.504899999875917,8.16016250225644
glide,3.2,6.504899999875917,8.16016250225644
glide,3.25,6.504899999875917,8.16016250225644
glide,3.3000000000000003,6.504899999875917,8.16016250225644
glide,3.35,6.504899999875917,8.16016250225644
glide,3.4000000000000004,6.504899999875917,8.16016250225644
glide,3.45,6.504899999875917,8.16016250225644
glide,3.5,6.504899999875917,8.16016250225644
glide,3.5500000000000003,6.504899999875917,8.16016250225644
glide,3.6,6.504899999875917,8.16016250225644
glide,3.6500000000000004,6.504899999875917,8.16016250225644
glide,3.7,6.504899999875917,8.16016250225644
glide,3.75,6.504899999875917,8.16016250225644
glide,3.8000000000000003,6.504899999875917,8.16016250225644
glide,3.85,6.504899999875917,8.16016250225644
glide,3.9000000000000004,6.504899999875917,8.16016250225644
glide,3.95,6.504899999875917,8.16016250225644
glide,4.0,6.504899999875917,8.16016250225644
