profile,observable,previous_role,target,scale,units,baseline,prediction,normalized_residual,used_in_core_objective,retained_as_exact_anchor
sign_only,v17_near_1.095_Haa,fit,11.545874277606002,1.1545874277606003,eV/L0^2,12.83250252679408,7.326657282472086,-3.6543070656133594,False,False
sign_only,v17_direct023_energy,heldout,0.10138618519039871,0.010138618519039872,eV/cell,0.10205837270511953,0.11265843107794143,1.1118128043158884,False,False
sign_only,v17_direct023_normal_force,heldout,-0.8610948380753036,0.03173805605024358,eV/L0,-1.000889483289834,-1.873844637049121,-31.90963546634876,False,False
sign_only,v17_direct023_Haa,heldout,29.67272464413389,2.967272464413389,eV/L0^2,16.699701527023954,48.44717353050969,6.3271738984331485,False,False
sign_only,v17_direct023_Hxx,heldout,1.5318476269016676,0.1531847626901668,eV/L0^2,0.7154466307697382,2.032951564300871,3.2712387877163858,False,False
sign_only,v17_direct047_energy,heldout,0.26395051027571553,0.026395051027571555,eV/cell,0.23901992605978917,0.2950244537447548,1.1772640043991673,False,False
sign_only,v17_direct047_normal_force,heldout,-2.2580600813748397,0.03173805605024358,eV/L0,-1.9108723134269163,-5.036259218935371,-87.53526470438034,False,False
sign_only,v17_direct047_Haa,heldout,35.337517734960244,3.5337517734960247,eV/L0^2,27.031614667523698,106.00136437516821,19.996833725052095,False,False
sign_only,v17_direct047_Hxx,heldout,-7.290154929569364,0.7290154929569365,eV/L0^2,-5.27222075828894,-7.267401759214098,0.031210818665838344,False,False
sign_only,v17_off_plus_energy,heldout,0.08014986299727256,0.008014986299727257,eV/cell,0.07780415624357206,0.05516342372831965,-3.117465000508257,False,False
sign_only,v17_off_plus_normal_force,heldout,0.496288954541943,0.03173805605024358,eV/L0,0.44125127727399255,0.3601074687322359,-4.290794798336804,False,False
sign_only,v17_off_plus_Haa,heldout,13.145916399036436,1.3145916399036437,eV/L0^2,15.065961813273706,13.129600785858893,-0.012411164564182788,False,False
sign_only,v17_off_plus_Hxx,heldout,0.5867789207029961,0.1,eV/L0^2,-0.16414910162188345,0.05127628542783122,-5.355026352751648,False,False
sign_only,v17_off_minus_energy,heldout,0.21284911087573022,0.021284911087573022,eV/cell,0.17442443427924742,0.13141253363001168,-3.82602383964218,False,False
sign_only,v17_off_minus_normal_force,heldout,0.06702268289699899,0.03173805605024358,eV/L0,0.08349627938583082,-0.10978065465218066,-5.570704685544934,False,False
sign_only,v17_off_minus_Haa,heldout,11.464221151869252,1.1464221151869252,eV/L0^2,19.196150004927226,19.90176345984805,7.359891436325832,False,False
sign_only,v17_off_minus_Hxx,heldout,-2.835312235036081,0.2835312235036081,eV/L0^2,-1.8268871932181274,-1.141716024002044,5.973226476104438,False,False
sign_only,v17_shockley067_energy,heldout,0.07506981596967024,0.007506981596967025,eV/cell,0.07177824294759334,0.03621070015639682,-5.176396839573086,False,False
sign_only,v17_shockley067_normal_force,heldout,-0.08375074170661885,0.03173805605024358,eV/L0,-0.04644705929522224,0.06498223551649655,4.686266133869718,False,False
sign_only,v17_shockley067_Haa,heldout,14.560238367523052,1.4560238367523053,eV/L0^2,19.15359107948811,17.742058279328912,2.1852800974075963,False,False
sign_only,v17_shockley067_Hxx,heldout,0.4530475235373633,0.1,eV/L0^2,-0.08697026892919707,0.6578988698489757,2.0485134631161244,False,False
