state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_6pct,formed,110,114,True,False,False,3.0693905705760223,2.5729119406960566,-6.914434318844574
loading_6pct,topological_min_cut,51,86,True,True,True,2.322392113939579,2.374519749720328,-12.001562920094774
loading_6pct,topological_min_cut,55,90,False,False,True,2.359388782886468,2.4294973672082483,-12.012548614538622
loading_6pct,topological_min_cut,59,94,False,False,True,2.3684911212150874,2.4305410023810126,-12.017560190668444
loading_6pct,topological_min_cut,73,108,True,True,False,2.488812832461743,2.540108662456358,-10.466450409688704
loading_6pct,topological_min_cut,74,75,True,True,False,2.4889327011901425,2.5401093212573773,-10.466450993539041
loading_6pct,topological_min_cut,77,112,False,True,False,2.4149728157126087,2.470236876225413,-9.984265734922895
loading_6pct,topological_min_cut,78,79,False,True,False,2.329433551446925,2.3699978489719427,-10.072630496440597
loading_6pct,topological_min_cut,81,116,False,True,False,2.32934462348775,2.3699977825078955,-10.072629621409764
loading_6pct,topological_min_cut,82,83,False,True,False,2.4150199664642154,2.4702360506742345,-9.984267054102691
loading_6pct,topological_min_cut,85,120,True,True,False,2.3413233701808465,2.3824696549335522,-9.911514399282016
loading_6pct,topological_min_cut,89,124,False,False,False,2.37329576528131,2.4435677851098285,-10.034973423884264
loading_6pct,topological_min_cut,93,128,False,False,False,2.351791228018767,2.4391144758788563,-9.966708968706216
loading_6pct,topological_min_cut,96,97,True,True,True,2.3223166646789712,2.3745192702342512,-12.001563659040496
loading_6pct,topological_min_cut,98,99,True,True,False,2.341319304842055,2.3824699880551004,-9.911512545106575
loading_6pct,topological_min_cut,100,101,False,False,True,2.3683799976805577,2.4305417368456768,-12.017559903110417
loading_6pct,topological_min_cut,102,103,False,False,False,2.3516337932600155,2.4391151123771495,-9.966708273919174
loading_6pct,topological_min_cut,104,105,False,False,True,2.3592593390077603,2.4294975355472714,-12.012548764160424
loading_6pct,topological_min_cut,106,107,False,False,False,2.3730329315311827,2.4435677770238935,-10.03497379153076
loading_8pct,formed,109,117,True,False,False,3.0687234411595146,2.546122907407674,-7.117608975909317
loading_8pct,formed,110,114,True,False,False,3.0693905705760223,2.5461229206550335,-7.117608934050368
loading_8pct,formed,157,165,True,False,False,3.54565633617519,2.3888313713460243,-2.8510836658034453
loading_8pct,formed,170,174,True,False,False,3.5462827271506603,2.3888312426166562,-2.8510834865982235
loading_8pct,formed,193,201,True,False,False,3.541980715933185,2.370034059473515,1.4648217516532602
loading_8pct,formed,206,210,True,False,False,3.5425849353475978,2.370033354466179,1.464821896474077
loading_8pct,formed,229,237,True,False,False,3.539368064828197,2.372046788470636,5.793618548165294
loading_8pct,formed,242,246,True,False,False,3.5394922539451934,2.3720468248632676,5.7936183822289875
loading_8pct,formed,265,273,True,False,False,3.6156943094364036,2.438646623143334,10.083948368998634
loading_8pct,formed,278,282,True,False,False,3.6156978849758716,2.438646653856101,10.083948162408504
loading_8pct,topological_min_cut,51,86,True,True,True,2.322392113939579,2.3805559342908573,-12.3012249663272
loading_8pct,topological_min_cut,55,90,False,False,True,2.359388782886468,2.4351637438827765,-12.315719111254452
loading_8pct,topological_min_cut,59,94,False,False,True,2.3684911212150874,2.4400860243856113,-12.323923153558205
loading_8pct,topological_min_cut,73,108,True,True,False,2.488812832461743,2.546730524870855,-10.754898162218417
