state,neighborhood_cutoff_A,atom,neighbors,rank,residual_degrees_of_freedom,condition,D2_A2,free,initial_coordination,initial_surface,initial_grip_neighbor,x_A,y_A,z_A,green_min,green_middle,green_max
loading_0pct,4.2,196,15,3,36,1.2527057730721434,3.2176050160161705e-31,True,4,False,False,-2.418622608423308,-3.4999820193058095,-0.5211867134938855,-1.2755521175610468e-16,1.1098240577638545e-17,2.2747927364098177e-16
loading_0pct,4.2,197,15,3,36,1.3348473023737528,3.097705444857533e-30,True,4,False,False,-2.3781963716450782,-4.829227197672666,1.4332847715049715,-4.467300969514397e-16,1.6607311672756406e-18,6.671139707091956e-16
loading_0pct,4.2,198,16,3,39,1.0685108531161815,1.268899971229683e-30,True,4,False,False,-0.5179270037754852,-0.6459051605507499,1.4350511748304657,-2.273793788485523e-16,9.28126501567481e-19,4.484958572720161e-16
loading_0pct,4.2,199,16,3,39,1.0669425744581993,3.254348598842601e-30,True,4,False,False,-0.5336219172274261,-1.9946230274425236,3.3777072051737633,-4.2483662430524496e-16,6.995017052199824e-17,6.879533611707937e-16
loading_0pct,4.2,200,16,3,39,1.0269873258609334,9.328506480435779e-30,True,4,False,False,1.5364575796253248,-3.150066840195169,-0.49737128709327433,-5.903311532464198e-16,8.661905479621862e-16,1.0564082348344217e-15
loading_0pct,4.2,201,16,3,39,1.102512258713118,1.730797215792376e-30,True,4,False,False,1.5782523945745295,-4.461000119543747,1.4425286748082582,-1.135249957750873e-16,4.1922882845694934e-16,4.714522845557477e-16
loading_0pct,4.2,202,15,3,36,1.146783257693624,4.129080451764298e-30,True,4,False,False,3.5117041714772035,-0.6053342853911554,1.4437564833425105,-2.2329576664991414e-16,2.221485060762935e-16,8.893256802737462e-16
loading_0pct,4.2,203,15,3,36,1.1631954335651198,1.1132990763756476e-30,True,4,False,False,3.5271019514586395,-1.9627905137477353,3.3813464658617556,-4.557233465373558e-16,-1.2834134554691888e-16,2.895317977169632e-17
loading_0pct,4.2,204,10,3,21,1.3009588365654357,1.0463896475797383e-30,True,3,True,False,5.328233863893283,2.179726804509747,-0.5061308906676346,-4.154716618842146e-16,-1.3462858349748201e-16,-5.011266930881578e-18
loading_0pct,4.2,205,10,3,21,1.3221746949777697,5.713875821522506e-29,True,3,True,False,5.352533680862082,0.8536851461861089,1.4268754268988142,-2.2346978347101806e-15,-5.542597158927237e-16,2.1228237358278123e-15
loading_0pct,4.2,206,10,3,21,1.3023631036834968,4.6526101764416214e-30,True,3,True,False,-4.112156601123153,4.993554943350947,1.4494093628285096,-7.784071448080953e-16,-1.1151313856497547e-16,4.458310735230082e-16
loading_0pct,4.2,207,10,3,21,1.3388982692401934,2.0514334701397837e-30,True,3,True,False,-4.20023369745697,3.675492820395793,3.3918717783149597,-2.706596579196039e-16,-8.851507144353226e-17,6.92241636750683e-16
loading_0pct,4.2,208,15,3,36,1.164313749357883,2.5327737464973563e-30,True,4,False,False,-2.5721654137873977,1.9459133857804645,-0.49892150636625726,-6.783566380992941e-16,-1.0025319299097031e-16,2.234983187776862e-16
loading_0pct,4.2,209,15,3,36,1.1466017852959076,2.716018429330092e-30,True,4,False,False,-2.5423601077124074,0.609086095298361,1.443544055471499,-5.553086630903778e-16,2.220455895171433e-16,4.442853760357502e-16
loading_0pct,4.2,210,16,3,39,1.1026059938147112,4.3920166170327585e-31,True,4,False,False,-0.609300315463697,4.464542978668789,1.44218389461478,-2.4592256600613557e-16,-2.286628056033665e-16,3.049616175943949e-17
loading_0pct,4.2,211,16,3,39,1.0294011101043505,4.814136080053225e-30,True,4,False,False,-0.5445571224176339,3.159581919820972,3.3839282602345047,-7.190130885468719e-16,-1.8874648319324037e-16,6.857149668150811e-16
loading_0pct,4.2,212,16,3,39,1.0653320200951188,2.7965562882695595e-30,True,4,False,False,1.4894621716596461,2.0079290012279687,-0.5052164072640707,-7.774201144364411e-16,-9.584030013453211e-21,2.2231818615387623e-16
loading_0pct,4.2,213,16,3,39,1.0684071739758179,4.7419043844073715e-30,True,4,False,False,1.4873058291868508,0.6497232373864392,1.4350342151065796,2.0937462354573718e-16,4.272920966012025e-16,9.176455143282785e-16
loading_0pct,4.2,214,15,3,36,1.3351856073689936,4.9412884427361446e-30,True,4,False,False,3.346742993398701,4.833567148796566,1.4328903916044595,2.112175734614514e-16,4.3423791521116555e-16,9.088567458026024e-16
loading_0pct,4.2,215,15,3,36,1.247594018379609,1.5975418363644963e-30,True,4,False,False,3.4146400620473694,3.472757423984263,3.3750059980615457,-3.428215911749239e-16,2.2308137741539547e-16,4.528071211470754e-16
loading_0pct,4.2,216,7,3,12,2.658125311174899,9.925800141442636e-31,True,2,True,False,3.129660838478399,8.028256887013347,3.411830044254444,-2.0964874951795458e-16,2.171701361389728e-17,4.0997634082908875e-16
loading_0pct,4.2,217,8,3,15,2.27166796407601,1.2075415241703373e-30,True,3,True,False,4.1583592169494885,7.031471224729715,5.3557491547549345,-6.014256664577329e-16,-2.212207792872367e-16,1.565126309698758e-16
loading_0pct,4.2,218,8,3,15,2.270697543773035,1.25508340577409e-30,True,3,True,False,-3.191357557908939,-7.027056979858505,5.355382628289766,-1.2570533126936543e-16,4.291455261871405e-16,4.737159223198346e-16
loading_0pct,4.2,219,7,3,12,2.567138730217291,2.529406335818516e-30,True,2,True,False,-2.2708489121782964,-7.928107671514602,7.383229204790747,-5.413787588594504e-16,-6.097795738287428e-17,2.692898088547777e-16
loading_0pct,4.2,220,9,3,18,1.7541168343261466,2.5483531760267953e-28,True,2,True,False,-1.384740527039463,7.481099026586722,3.3836839989299294,-5.6826992219601765e-15,2.2122761398266413e-16,5.683516212902541e-15
loading_0pct,4.2,221,11,3,24,1.2773026058104404,6.6106615204471e-30,True,4,False,False,-2.0671379567255492,6.274775665883698,5.3312849973690675,-1.2242212318249194e-15,-4.50842544842185e-16,-2.1231536519566123e-16
loading_0pct,4.2,222,12,3,27,1.28525789738712,3.0161783225903396e-30,True,4,False,False,-0.32202819010076233,-5.799149814538376,5.345594923707713,-7.84233986001013e-16,-2.2285222835364315e-16,7.885492192015295e-18
loading_0pct,4.2,223,10,3,21,1.456752374155291,2.7383474554721726e-30,True,2,True,False,-0.06172059219833934,-7.050716782455053,7.29601119336743,-7.890200631585492e-17,4.381062016443744e-16,7.51018829296637e-16
loading_0pct,4.2,224,10,3,21,1.4614459090117908,5.932833212215957e-31,True,2,True,False,0.979127251924961,7.049322426219654,3.3983794201367723,-4.935656856913372e-16,-1.5960903879775418e-16,-1.2959090286002208e-17
loading_0pct,4.2,225,12,3,27,1.2852773846575027,3.635921513835386e-30,True,4,False,False,1.2901410980142272,5.803032359923221,5.345653542154107,-1.1176274432997991e-15,-1.2275113686985373e-16,2.4117785800701145e-16
