model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.88,0.0,0.0,50.96951676667982,2.8364809535645663e-05,50.96948840187028,
shape_refinement/old_family,0.98,12.0,0.88,0.08,0.0,55.57653365579741,2.836205529777056e-05,55.576505293742116,
shape_refinement/old_family,0.98,12.0,0.88,0.08,0.08,49.39828948731214,2.8359396457580663e-05,49.39826112791568,
shape_refinement/old_family,0.98,12.0,0.88,0.16,0.0,69.46448434198562,2.8354080531102352e-05,69.4644559879051,
shape_refinement/old_family,0.98,12.0,0.88,0.16,0.08,53.50563508894634,2.8351719959029304e-05,53.50560673722638,
shape_refinement/old_family,0.98,12.0,0.88,0.16,0.16,44.86988169498114,2.8344989365661647e-05,44.86985334999177,
shape_refinement/old_family,0.98,12.0,0.88,0.24,0.0,89.49699318729124,2.834169283463376e-05,89.4969648455984,
shape_refinement/old_family,0.98,12.0,0.88,0.24,0.08,67.10331116406412,2.8339883155362095e-05,67.10328282418097,
shape_refinement/old_family,0.98,12.0,0.88,0.24,0.16,46.987237805449645,2.833495146001778e-05,46.987209470498186,
shape_refinement/old_family,0.98,12.0,0.88,0.24,0.24,38.09013006565299,2.8328500997427413e-05,38.090101737152,
shape_refinement/old_family,0.98,12.0,0.88,0.32,0.0,108.78085254348737,2.8326063631985395e-05,108.78082421742374,
shape_refinement/old_family,0.98,12.0,0.88,0.32,0.08,84.72265743152748,2.8325206164182796e-05,84.72262910632132,
shape_refinement/old_family,0.98,12.0,0.88,0.32,0.16,56.22833231427819,2.832349283520078e-05,56.228303990785356,
shape_refinement/old_family,0.98,12.0,0.88,0.32,0.24,38.26686275867946,2.8323460481533993e-05,38.266834435218975,
shape_refinement/old_family,0.98,12.0,0.88,0.4,0.0,120.76712850188964,2.8308507204451898e-05,120.76710019338243,
shape_refinement/old_family,0.98,12.0,0.88,0.4,0.08,99.13513887896995,2.830950082506325e-05,99.13511056946913,
shape_refinement/old_family,0.98,12.0,0.88,0.4,0.16,67.00601092809627,2.8313797233244774e-05,67.00598261429904,
shape_refinement/old_family,0.98,12.0,0.88,0.48,0.0,121.85778940228786,2.8290244389798656e-05,121.85776111204348,
shape_refinement/old_family,0.98,12.0,0.88,0.48,0.08,104.6127666266462,2.829629926389795e-05,104.61273833034694,
shape_refinement/old_family,0.98,12.0,0.88,0.56,0.0,111.70690063905202,2.8282151837033375e-05,111.70687235690019,
shape_refinement/old_family,0.98,12.0,0.96,0.0,0.0,53.274089652303346,2.8361598243034723e-05,53.274061290705106,
shape_refinement/old_family,0.98,12.0,0.96,0.08,0.0,61.044188529177475,2.8358540700302313e-05,61.04416017063677,
shape_refinement/old_family,0.98,12.0,0.96,0.08,0.08,51.545369370729745,2.8355534846468802e-05,51.5453410151949,
shape_refinement/old_family,0.98,12.0,0.96,0.16,0.0,83.66951746461879,2.8349665708290443e-05,83.66948911495308,
