dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,1000,4,2,2.0,0.04,0.08,transverse,201167791468.74377,28968161971499.1,299.04855090209173
0.0025,1000,4,2,2.0,0.08,0.16,normal,68675597466.70256,9889286035205.168,299.04855090209173
0.0025,1000,4,2,2.0,0.08,0.16,direct110,208818768488.6842,30069902662370.523,299.04855090209173
0.0025,1000,4,2,2.0,0.08,0.16,transverse,207432295189.8295,29870250507335.45,299.04855090209173
0.0025,1000,4,2,3.0,0.02,0.04,normal,144657197110.90726,20830636383970.645,299.04855090209173
0.0025,1000,4,2,3.0,0.02,0.04,direct110,127823036847.23538,18406517306001.895,299.04855090209173
0.0025,1000,4,2,3.0,0.02,0.04,transverse,225189148213.5461,32427237342750.64,299.04855090209173
0.0025,1000,4,2,3.0,0.04,0.08,normal,95532278354.49263,13756648083046.94,299.04855090209173
0.0025,1000,4,2,3.0,0.04,0.08,direct110,177084971341.92465,25500235873237.15,299.04855090209173
0.0025,1000,4,2,3.0,0.04,0.08,transverse,220195368413.79803,31708133051586.918,299.04855090209173
0.0025,1000,4,2,3.0,0.08,0.16,normal,69539511310.94005,10013689628775.367,299.04855090209173
0.0025,1000,4,2,3.0,0.08,0.16,direct110,207101230702.9673,29822577221227.29,299.04855090209173
0.0025,1000,4,2,3.0,0.08,0.16,transverse,206304801322.07275,29707891390378.477,299.04855090209173
0.0025,1000,4,3,2.0,0.02,0.04,normal,90885355927.70534,13087491253589.568,299.0620543649551
0.0025,1000,4,3,2.0,0.02,0.04,direct110,175679593265.52676,25297861430235.855,299.0620543649551
0.0025,1000,4,3,2.0,0.02,0.04,transverse,263519621380.16135,37946825478743.234,299.0620543649551
0.0025,1000,4,3,2.0,0.04,0.08,normal,86669535259.95795,12480413077433.945,299.0620543649551
0.0025,1000,4,3,2.0,0.04,0.08,direct110,197022416869.64587,28371228029229.008,299.0620543649551
0.0025,1000,4,3,2.0,0.04,0.08,transverse,286895881617.9094,41313006952978.95,299.0620543649551
0.0025,1000,4,3,2.0,0.08,0.16,normal,91455760877.37674,13169629566342.25,299.0620543649551
0.0025,1000,4,3,2.0,0.08,0.16,direct110,247656147272.90646,35662485207298.53,299.0620543649551
0.0025,1000,4,3,2.0,0.08,0.16,transverse,349389475176.7076,50312084425445.89,299.0620543649551
0.0025,1000,4,3,3.0,0.02,0.04,normal,101872509577.1737,14669641379113.014,299.0620543649551
0.0025,1000,4,3,3.0,0.02,0.04,direct110,177660887683.89682,25583167826481.14,299.0620543649551
0.0025,1000,4,3,3.0,0.02,0.04,transverse,270100422023.94543,38894460771448.14,299.0620543649551
0.0025,1000,4,3,3.0,0.04,0.08,normal,86545658213.44632,12462574782736.27,299.0620543649551
0.0025,1000,4,3,3.0,0.04,0.08,direct110,191819433425.83847,27621998413320.74,299.0620543649551
0.0025,1000,4,3,3.0,0.04,0.08,transverse,294326606330.75323,42383031311628.47,299.0620543649551
0.0025,1000,4,3,3.0,0.08,0.16,normal,91941410561.4006,13239563120841.688,299.0620543649551
0.0025,1000,4,3,3.0,0.08,0.16,direct110,256626015650.80557,36954146253716.0,299.0620543649551
0.0025,1000,4,3,3.0,0.08,0.16,transverse,372829642199.28973,53687468476697.72,299.0620543649551
0.0025,2000,1,0,2.0,0.002,0.005,normal,81995843113.09224,11807401408285.283,299.0767589647813
0.0025,2000,1,0,2.0,0.002,0.005,direct110,201447011360.1308,29008369635858.836,299.0767589647813
0.0025,2000,1,0,2.0,0.002,0.005,transverse,165230964861.08633,23793258939996.434,299.0767589647813
0.0025,2000,1,0,2.0,0.005,0.01,normal,95583567113.54686,13764033664350.748,299.0767589647813
0.0025,2000,1,0,2.0,0.005,0.01,direct110,155968020747.94318,22459394987703.816,299.0767589647813
0.0025,2000,1,0,2.0,0.005,0.01,transverse,206895739755.38034,29792986524774.77,299.0767589647813
0.0025,2000,1,0,2.0,0.01,0.02,normal,89720539477.49078,12919757684758.672,299.0767589647813
0.0025,2000,1,0,2.0,0.01,0.02,direct110,210298732946.29764,30283017544266.86,299.0767589647813
0.0025,2000,1,0,2.0,0.01,0.02,transverse,196184475410.91788,28250564459172.176,299.0767589647813
0.0025,2000,1,0,2.0,0.02,0.04,normal,83742507306.05838,12058921052072.406,299.0767589647813
0.0025,2000,1,0,2.0,0.02,0.04,direct110,191054372201.501,27511829597016.145,299.0767589647813
0.0025,2000,1,0,2.0,0.02,0.04,transverse,197388161061.3644,28423895192836.477,299.0767589647813
0.0025,2000,1,0,2.0,0.04,0.08,normal,71030056763.77574,10228328173983.707,299.0767589647813
0.0025,2000,1,0,2.0,0.04,0.08,direct110,209269307944.99902,30134780344079.86,299.0767589647813
0.0025,2000,1,0,2.0,0.04,0.08,transverse,222231868873.25314,32001389117748.453,299.0767589647813
0.0025,2000,1,0,2.0,0.08,0.16,normal,82935244225.14848,11942675168421.38,299.0767589647813
