observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v16_opening1.62_energy,fit,fit,development_or_control,0.5246331923940108,0.5246331923940108,0.40678523033548125,eV/cell,0.05246331923940109,-2.246292529086174,-2.246292529086174
v16_opening1.62_normal_force,fit,fit,development_or_control,0.5093642313524578,0.5093642313524578,0.7039941107712256,eV/L0,0.03173805605024358,6.132381867076391,6.132381867076391
v16_opening1.62_Haa,fit,fit,development_or_control,-0.15582859326870177,-0.15582859326870177,-0.8154476900580665,eV/L0^2,0.1,-6.596190967893647,-6.596190967893647
v16_opening1.93_energy,fit,fit,development_or_control,0.6719836252695317,0.6719836252695317,0.558271439130531,eV/cell,0.06719836252695317,-1.6921868608538027,-1.6921868608538027
v16_opening1.93_normal_force,fit,fit,development_or_control,0.6270410192299789,0.6270410192299789,0.49274234022256336,eV/L0,0.03173805605024358,-4.231471480005306,-4.231471480005306
v16_opening1.93_Haa,fit,fit,development_or_control,-0.6638075680371565,-0.6638075680371565,-0.8162746646283264,eV/L0^2,0.1,-1.5246709659116997,-1.5246709659116997
v16_opening2.71_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7400359847303131,eV/cell,0.07719163228888834,-0.41300251352709666,-0.41300251352709666
v16_opening2.71_normal_force,fit,fit,development_or_control,0.0,0.0,0.13558192449637416,eV/L0,0.03173805605024358,4.271903870915673,4.271903870915673
v16_opening2.71_Haa,fit,fit,development_or_control,0.0,0.0,-0.30491748313249356,eV/L0^2,0.1,-3.0491748313249354,-3.0491748313249354
v16_opening4.3_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7954567489002029,eV/cell,0.07719163228888834,0.3049608527932137,0.3049608527932137
v16_opening4.3_normal_force,fit,fit,development_or_control,0.0,0.0,0.006150191426349016,eV/L0,0.03173805605024358,0.1937797140635466,0.1937797140635466
v16_opening4.3_Haa,fit,fit,development_or_control,0.0,0.0,-0.0151348320978177,eV/L0^2,0.1,-0.151348320978177,-0.151348320978177
v16_opening6.2_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.797880920548439,eV/cell,0.07719163228888834,0.33636544389142536,0.33636544389142536
v16_opening6.2_normal_force,fit,fit,development_or_control,0.0,0.0,0.0001256989904803989,eV/L0,0.03173805605024358,0.0039605132173630465,0.0039605132173630465
v16_opening6.2_Haa,fit,fit,development_or_control,0.0,0.0,-0.00031980303906696967,eV/L0^2,0.1,-0.0031980303906696964,-0.0031980303906696964
v17_near_0.985_normal_force,fit,fit,development_or_control,-0.24821900083247345,-0.24821900083247345,-0.28334057776349997,eV/L0,0.03173805605024358,-1.1066076912658604,-1.1066076912658604
v17_near_0.985_Haa,fit,fit,development_or_control,20.878110673451364,20.878110673451364,26.258120530434915,eV/L0^2,2.0878110673451364,2.576866240978778,2.576866240978778
v17_near_1.015_normal_force,fit,fit,development_or_control,0.2329580444899274,0.2329580444899274,0.20346505237134732,eV/L0,0.03173805605024358,-0.929262714511897,-0.929262714511897
v17_near_1.015_Haa,fit,fit,development_or_control,18.39295935022696,18.39295935022696,14.002498559528476,eV/L0^2,1.839295935022696,-2.387033378967538,-2.387033378967538
v17_near_1.065_normal_force,fit,fit,development_or_control,0.9078686582498847,0.9078686582498847,0.6704680079469857,eV/L0,0.03173805605024358,-7.479999717912056,-7.479999717912056
v17_near_1.065_Haa,fit,fit,development_or_control,14.605604041867348,14.605604041867348,11.766653099319882,eV/L0^2,1.4605604041867348,-1.9437408644035117,-1.9437408644035117
v17_near_1.095_normal_force,fit,fit,development_or_control,1.2303804278835464,1.2303804278835464,0.8660809893579099,eV/L0,0.03173805605024358,-11.478316061605184,-11.478316061605184
v17_near_1.095_Haa,fit,fit,development_or_control,11.545874277606002,11.545874277606002,3.20888053812204,eV/L0^2,1.1545874277606003,-7.220755690761435,-7.220755690761435
v17_direct023_energy,heldout,heldout,retrospective,0.10138618519039871,0.10138618519039871,0.09028183248904498,eV/cell,0.010138618519039872,-1.0952530347699994,-1.0952530347699994
v17_direct023_normal_force,heldout,heldout,retrospective,-0.8610948380753036,-0.8610948380753036,-0.7848606983183792,eV/L0,0.03173805605024358,2.401978862102971,2.401978862102971
v17_direct023_Haa,heldout,heldout,retrospective,29.67272464413389,29.67272464413389,25.828531518328774,eV/L0^2,2.967272464413389,-1.2955308863303487,-1.2955308863303487
v17_direct023_Hxx,heldout,heldout,retrospective,1.5318476269016676,1.5318476269016676,2.3035954029524577,eV/L0^2,0.1531847626901668,5.038019203070058,5.038019203070058
v17_direct047_energy,heldout,heldout,retrospective,0.26395051027571553,0.26395051027571553,0.24711716860970528,eV/cell,0.026395051027571555,-0.6377461308343976,-0.6377461308343976
v17_direct047_normal_force,heldout,heldout,retrospective,-2.2580600813748397,-2.2580600813748397,-2.2122923316084773,eV/L0,0.03173805605024358,1.4420464093298238,1.4420464093298238
v17_direct047_Haa,heldout,heldout,retrospective,35.337517734960244,35.337517734960244,43.641346925687984,eV/L0^2,3.5337517734960247,2.349862051151534,2.349862051151534
v17_direct047_Hxx,heldout,heldout,retrospective,-7.290154929569364,-7.290154929569364,-6.40136536906701,eV/L0^2,0.7290154929569365,1.2191641591831786,1.2191641591831786
v17_off_plus_energy,heldout,heldout,retrospective,0.08014986299727256,0.08014986299727256,0.0736483655305932,eV/cell,0.008014986299727257,-0.8111676331749434,-0.8111676331749434
v17_off_plus_normal_force,heldout,heldout,retrospective,0.496288954541943,0.496288954541943,0.36090303162881954,eV/L0,0.03173805605024358,-4.2657282695196574,-4.2657282695196574
v17_off_plus_Haa,heldout,heldout,retrospective,13.145916399036436,13.145916399036436,10.239254436463797,eV/L0^2,1.3145916399036437,-2.211075952670511,-2.211075952670511
v17_off_plus_Hxx,heldout,heldout,retrospective,0.5867789207029961,0.5867789207029961,0.14419440531316527,eV/L0^2,0.1,-4.425845153898307,-4.425845153898307
v17_off_minus_energy,heldout,heldout,retrospective,0.21284911087573022,0.21284911087573022,0.19245047581392216,eV/cell,0.021284911087573022,-0.9583613000722184,-0.9583613000722184
v17_off_minus_normal_force,heldout,heldout,retrospective,0.06702268289699899,0.06702268289699899,-0.1482543997083231,eV/L0,0.03173805605024358,-6.782932208088715,-6.782932208088715
v17_off_minus_Haa,heldout,heldout,retrospective,11.464221151869252,11.464221151869252,11.937162835716272,eV/L0^2,1.1464221151869252,0.4125371253588447,0.4125371253588447
v17_off_minus_Hxx,heldout,heldout,retrospective,-2.835312235036081,-2.835312235036081,-2.6400138840925633,eV/L0^2,0.2835312235036081,0.6888072097676123,0.6888072097676123
v17_shockley067_energy,heldout,heldout,retrospective,0.07506981596967024,0.07506981596967024,0.06867367927570053,eV/cell,0.007506981596967025,-0.8520250930885301,-0.8520250930885301
v17_shockley067_normal_force,heldout,heldout,retrospective,-0.08375074170661885,-0.08375074170661885,-0.04322913616004134,eV/L0,0.03173805605024358,1.2767513385958154,1.2767513385958154
v17_shockley067_Haa,heldout,heldout,retrospective,14.560238367523052,14.560238367523052,17.04802420454701,eV/L0^2,1.4560238367523053,1.7086161464039078,1.7086161464039078
v17_shockley067_Hxx,heldout,heldout,retrospective,0.4530475235373633,0.4530475235373633,0.046916866976342925,eV/L0^2,0.1,-4.061306565610203,-4.061306565610203
v17_compression_energy,heldout,heldout,retrospective,0.025317916775100896,0.025317916775100896,0.02509031047248409,eV/cell,0.004433026104653031,-0.05134332558472931,-0.05134332558472931
v17_compression_normal_force,heldout,heldout,retrospective,-0.6769543589544016,-0.6769543589544016,-0.6337969294766571,eV/L0,0.03173805605024358,1.3598006572747627,1.3598006572747627
v17_compression_Haa,heldout,heldout,retrospective,26.962376342241654,26.962376342241654,20.649761733867603,eV/L0^2,2.6962376342241656,-2.3412678942857674,-2.3412678942857674
