observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v16_raised043_energy,fit,fit,development_or_control,0.1726273519698645,0.1726273519698645,0.1546732020632356,eV/cell,0.017262735196986453,-1.0400524425447457,-1.0400524425447457
v16_raised043_normal_force,fit,fit,development_or_control,-0.17083895700384927,-0.17083895700384927,-0.24669031837388444,eV/L0,0.03173805605024358,-2.3899183128909067,-2.3899183128909067
v16_raised043_Haa,fit,fit,development_or_control,18.238440853611248,18.238440853611248,14.506736452603178,eV/L0^2,1.8238440853611249,-2.0460654674158647,-2.0460654674158647
v16_off_plus_energy,fit,fit,development_or_control,0.0652424878354941,0.0652424878354941,0.05889080453889423,eV/cell,0.006524248783549411,-0.9735501369315264,-0.9735501369315264
v16_off_plus_normal_force,fit,fit,development_or_control,-0.08042066717244803,-0.08042066717244803,-0.15514008643532434,eV/L0,0.03173805605024358,-2.3542531762055687,-2.3542531762055687
v16_off_plus_Haa,fit,fit,development_or_control,20.981095919956758,20.981095919956758,18.063950233891806,eV/L0^2,2.098109591995676,-1.3903685952315898,-1.3903685952315898
v16_off_minus_energy,fit,fit,development_or_control,0.21182429891635463,0.21182429891635463,0.1738958164923077,eV/cell,0.021182429891635463,-1.7905633403759857,-1.7905633403759857
v16_off_minus_normal_force,fit,fit,development_or_control,0.3481661631135443,0.3481661631135443,0.18737728692823935,eV/L0,0.03173805605024358,-5.066122384142394,-5.066122384142394
v16_off_minus_Haa,fit,fit,development_or_control,5.497617912510364,5.497617912510364,8.29992881240884,eV/L0^2,0.5497617912510364,5.097318410436537,5.097318410436537
v16_shockley043_energy,fit,fit,development_or_control,0.061697611386283796,0.061697611386283796,0.05858444500507261,eV/cell,0.00616976113862838,-0.5045845878408328,-0.5045845878408328
v16_shockley043_normal_force,fit,fit,development_or_control,-0.43484281773712713,-0.43484281773712713,-0.50105500093975,eV/L0,0.03173805605024358,-2.086207898108324,-2.086207898108324
v16_shockley043_Haa,fit,fit,development_or_control,25.03469226049791,25.03469226049791,23.650726845355454,eV/L0^2,2.5034692260497913,-0.5528190243928846,-0.5528190243928846
v16_opening1.21_energy,fit,fit,development_or_control,0.19627832926906572,0.19627832926906572,0.12568475356617684,eV/cell,0.019627832926906574,-3.5966056958899695,-3.5966056958899695
v16_opening1.21_normal_force,fit,fit,development_or_control,1.631864707518524,1.631864707518524,0.9687582585570511,eV/L0,0.03173805605024358,-20.893102208645942,-20.893102208645942
v16_opening1.21_Haa,fit,fit,development_or_control,-1.3832350292334812,-1.3832350292334812,0.28498273517322165,eV/L0^2,0.13832350292334814,12.060262566739251,12.060262566739251
v16_opening1.62_energy,fit,fit,development_or_control,0.5246331923940108,0.5246331923940108,0.4173418409899392,eV/cell,0.05246331923940109,-2.045073643062475,-2.045073643062475
v16_opening1.62_normal_force,fit,fit,development_or_control,0.5093642313524578,0.5093642313524578,0.7397346134079349,eV/L0,0.03173805605024358,7.2584906174084685,7.2584906174084685
v16_opening1.62_Haa,fit,fit,development_or_control,-0.15582859326870177,-0.15582859326870177,-0.8210367243881685,eV/L0^2,0.1,-6.652081311194667,-6.652081311194667
v16_opening1.93_energy,fit,fit,development_or_control,0.6719836252695317,0.6719836252695317,0.577604413053326,eV/cell,0.06719836252695317,-1.4044867860931929,-1.4044867860931929
