family,case,observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
old_family,normal_scan_0,v19_new_6_force,heldout,heldout,retrospective,0.3995055633266556,0.3995055633266556,0.5016260520131723,eV/L0,0.03173805605024358,3.217603766432727,3.217603766432727
old_family,normal_scan_0,v19_new_6_Haa,heldout,heldout,retrospective,16.75498366183509,16.75498366183509,17.32566321751264,eV/L0^2,1.6754983661835092,0.34060287207409107,0.34060287207409107
old_family,normal_scan_0,v19_new_6_Hxx,heldout,heldout,retrospective,1.866294182504276,1.866294182504276,3.2423196504803027,eV/L0^2,0.18662941825042761,7.373036260176382,7.373036260176382
old_family,normal_scan_0,v19_new_7_energy,heldout,heldout,retrospective,0.1746163283222475,0.1746163283222475,0.1939380592593875,eV/cell,0.01746163283222475,1.1065248664192806,1.1065248664192806
old_family,normal_scan_0,v19_new_7_force,heldout,heldout,retrospective,1.0346608991752084,1.0346608991752084,1.0118299696736182,eV/L0,0.03173805605024358,-0.7193550060358863,-0.7193550060358863
old_family,normal_scan_0,v19_new_7_Haa,heldout,heldout,retrospective,3.3869832062735408,3.3869832062735408,1.3914927748118513,eV/L0^2,0.3386983206273541,-5.891645484883248,-5.891645484883248
old_family,normal_scan_0,v19_new_7_Hxx,heldout,heldout,retrospective,-0.5656137494473082,-0.5656137494473082,-0.5920178508958174,eV/L0^2,0.1,-0.2640410144850913,-0.2640410144850913
old_family,normal_scan_0,v19_new_8_energy,heldout,heldout,retrospective,0.17183161394321733,0.17183161394321733,0.16295342986515624,eV/cell,0.017183161394321734,-0.5166793161236872,-0.5166793161236872
old_family,normal_scan_0,v19_new_8_force,heldout,heldout,retrospective,-1.5479121827267546,-1.5479121827267546,-1.4303355915136575,eV/L0,0.03173805605024358,3.7045933445629124,3.7045933445629124
old_family,normal_scan_0,v19_new_8_Haa,heldout,heldout,retrospective,34.71656366870985,34.71656366870985,41.38109622540902,eV/L0^2,3.4716563668709854,1.9196982225248083,1.9196982225248083
old_family,normal_scan_0,v19_new_8_Hxx,heldout,heldout,retrospective,-0.974896485841256,-0.974896485841256,-0.3030237502107632,eV/L0^2,0.1,6.718727356304927,6.718727356304927
old_family,normal_scan_0,v19_new_9_energy,heldout,heldout,retrospective,0.07736533900036079,0.07736533900036079,0.08802900731683427,eV/cell,0.007736533900036079,1.3783521735003006,1.3783521735003006
old_family,normal_scan_0,v19_new_9_force,heldout,heldout,retrospective,-0.22650351113925563,-0.22650351113925563,-0.4280771589264379,eV/L0,0.03173805605024358,-6.351165536669195,-6.351165536669195
old_family,normal_scan_0,v19_new_9_Haa,heldout,heldout,retrospective,14.396252629283666,14.396252629283666,32.630345654732324,eV/L0^2,1.4396252629283666,12.665860689578603,12.665860689578603
old_family,normal_scan_0,v19_new_9_Hxx,heldout,heldout,retrospective,-0.11946413441426519,-0.11946413441426519,0.276775981226234,eV/L0^2,0.1,3.9624011564049915,3.9624011564049915
old_family,normal_scan_0,v19_power_new_0_energy,heldout,heldout,retrospective,0.0021758842211834217,0.0021758842211834217,0.0033912857197552367,eV/cell,0.004433026104653031,0.27416971384312283,0.27416971384312283
old_family,normal_scan_0,v19_power_new_0_force,heldout,heldout,retrospective,-0.2996693004614922,-0.2996693004614922,-0.4833745227676184,eV/L0,0.03173805605024358,-5.788168689831156,-5.788168689831156
old_family,normal_scan_0,v19_power_new_0_Haa,heldout,heldout,retrospective,21.133296310436656,21.133296310436656,36.620867818208396,eV/L0^2,2.1133296310436656,7.328516706654617,7.328516706654617
old_family,normal_scan_0,v19_power_new_0_Hxx,heldout,heldout,retrospective,4.803281906544594,4.803281906544594,5.949660717192371,eV/L0^2,0.4803281906544594,2.386657358348687,2.386657358348687
old_family,normal_scan_0,v19_power_new_1_energy,heldout,heldout,retrospective,0.01645069708691336,0.01645069708691336,0.018750024681661925,eV/cell,0.004433026104653031,0.5186812665811119,0.5186812665811119
old_family,normal_scan_0,v19_power_new_1_force,heldout,heldout,retrospective,0.747061714559844,0.747061714559844,0.7958179689217107,eV/L0,0.03173805605024358,1.5362079607107038,1.5362079607107038
old_family,normal_scan_0,v19_power_new_1_Haa,heldout,heldout,retrospective,15.66515497295868,15.66515497295868,15.638522558463146,eV/L0^2,1.5665154972958681,-0.017001053957976922,-0.017001053957976922
old_family,normal_scan_0,v19_power_new_1_Hxx,heldout,heldout,retrospective,3.4372637547611467,3.4372637547611467,2.4364277367891702,eV/L0^2,0.3437263754761147,-2.9117230721257927,-2.9117230721257927
old_family,normal_scan_0,v19_power_new_2_energy,heldout,heldout,retrospective,0.13995417796875365,0.13995417796875365,0.1301449530099509,eV/cell,0.013995417796875366,-0.7008883265344716,-0.7008883265344716
old_family,normal_scan_0,v19_power_new_2_force,heldout,heldout,retrospective,1.6376288066594074,1.6376288066594074,1.3005083123457368,eV/L0,0.03173805605024358,-10.621964173860713,-10.621964173860713
old_family,normal_scan_0,v19_power_new_2_Haa,heldout,heldout,retrospective,1.5124016664736504,1.5124016664736504,0.6055212141429142,eV/L0^2,0.15124016664736506,-5.996293659509374,-5.996293659509374
old_family,normal_scan_0,v19_power_new_2_Hxx,heldout,heldout,retrospective,0.07390822082095283,0.07390822082095283,0.9866918631667181,eV/L0^2,0.1,9.127836423457651,9.127836423457651
old_family,normal_scan_0,v19_power_new_3_energy,heldout,heldout,retrospective,0.39535837061576956,0.39535837061576956,0.34080652061540756,eV/cell,0.039535837061576956,-1.3798076392159764,-1.3798076392159764
old_family,normal_scan_0,v19_power_new_3_force,heldout,heldout,retrospective,1.0383826381800587,1.0383826381800587,1.0003467817444058,eV/L0,0.03173805605024358,-1.1984305647277023,-1.1984305647277023
old_family,normal_scan_0,v19_power_new_3_Haa,heldout,heldout,retrospective,-6.006053628734572,-6.006053628734572,-2.2597240401901506,eV/L0^2,0.6006053628734572,6.237589305931228,6.237589305931228
old_family,normal_scan_0,v19_power_new_3_Hxx,heldout,heldout,retrospective,-1.4153601110072371,-1.4153601110072371,0.2575063597262409,eV/L0^2,0.14153601110072372,11.819369909633718,11.819369909633718
old_family,normal_scan_0,v19_power_new_4_energy,heldout,heldout,retrospective,0.5880885299154484,0.5880885299154484,0.5687805814420397,eV/cell,0.05880885299154484,-0.3283170388680194,-0.3283170388680194
old_family,normal_scan_0,v19_power_new_4_force,heldout,heldout,retrospective,0.5878736415051682,0.5878736415051682,0.5363212480511613,eV/L0,0.03173805605024358,-1.6243084759947424,-1.6243084759947424
old_family,normal_scan_0,v19_power_new_4_Haa,heldout,heldout,retrospective,0.9838769358246306,0.9838769358246306,-0.9776698812848164,eV/L0^2,0.1,-19.61546817109447,-19.61546817109447
old_family,normal_scan_0,v19_power_new_4_Hxx,heldout,heldout,retrospective,0.5300888191539206,0.5300888191539206,0.0064029640970057105,eV/L0^2,0.1,-5.236858550569148,-5.236858550569148
old_family,normal_scan_0,v19_power_new_5_energy,heldout,heldout,retrospective,0.7807571272106231,0.7807571272106231,0.7268253963512474,eV/cell,0.07807571272106231,-0.6907619409387292,-0.6907619409387292
old_family,normal_scan_0,v19_power_new_5_force,heldout,heldout,retrospective,0.03287588986152218,0.03287588986152218,0.2424537256105615,eV/L0,0.03173805605024358,6.60336081760215,6.60336081760215
old_family,normal_scan_0,v19_power_new_5_Haa,heldout,heldout,retrospective,-2.5224317074829634,-2.5224317074829634,-0.47659331580036385,eV/L0^2,0.25224317074829633,8.110579904357698,8.110579904357698
old_family,normal_scan_0,v19_power_new_5_Hxx,heldout,heldout,retrospective,-0.10536285587305545,-0.10536285587305545,-0.00015776287372162777,eV/L0^2,0.1,1.0520509299933383,1.0520509299933383
old_family,normal_scan_0,v19_power_new_6_energy,heldout,heldout,retrospective,0.09299247367372732,0.09299247367372732,0.07562955088156477,eV/cell,0.009299247367372731,-1.867132049103454,-1.867132049103454
old_family,normal_scan_0,v19_power_new_6_force,heldout,heldout,retrospective,-0.03946790499084763,-0.03946790499084763,0.12764696058326896,eV/L0,0.03173805605024358,5.265441125617838,5.265441125617838
old_family,normal_scan_0,v19_power_new_6_Haa,heldout,heldout,retrospective,22.032873653678617,22.032873653678617,19.28066752236173,eV/L0^2,2.2032873653678617,-1.2491362563854123,-1.2491362563854123
old_family,normal_scan_0,v19_power_new_6_Hxx,heldout,heldout,retrospective,1.976588687531336,1.976588687531336,3.9154513952369996,eV/L0^2,0.19765886875313363,9.809135911463752,9.809135911463752
old_family,normal_scan_0,v19_power_new_7_energy,heldout,heldout,retrospective,0.16640726473220147,0.16640726473220147,0.1816948155485899,eV/cell,0.01664072647322015,0.91868289770826,0.91868289770826
old_family,normal_scan_0,v19_power_new_7_force,heldout,heldout,retrospective,0.9556810535854069,0.9556810535854069,0.9842250661936723,eV/L0,0.03173805605024358,0.8993623479358113,0.8993623479358113
old_family,normal_scan_0,v19_power_new_7_Haa,heldout,heldout,retrospective,3.6257942400934606,3.6257942400934606,2.2444955084142624,eV/L0^2,0.36257942400934606,-3.80964456395516,-3.80964456395516
old_family,normal_scan_0,v19_power_new_7_Hxx,heldout,heldout,retrospective,-0.7324824081355719,-0.7324824081355719,-0.5365389343384944,eV/L0^2,0.1,1.9594347379707744,1.9594347379707744
old_family,normal_scan_0,v19_power_new_8_energy,heldout,heldout,retrospective,0.18770167030691334,0.18770167030691334,0.18117843927595306,eV/cell,0.018770167030691336,-0.34753185841628703,-0.34753185841628703
old_family,normal_scan_0,v19_power_new_8_force,heldout,heldout,retrospective,-1.6817465699911935,-1.6817465699911935,-1.5922418613569524,eV/L0,0.03173805605024358,2.8201068298747987,2.8201068298747987
old_family,normal_scan_0,v19_power_new_8_Haa,heldout,heldout,retrospective,35.390692237109825,35.390692237109825,43.13435801882659,eV/L0^2,3.5390692237109826,2.188051516437122,2.188051516437122
old_family,normal_scan_0,v19_power_new_8_Hxx,heldout,heldout,retrospective,-1.532495429303305,-1.532495429303305,-1.4613469022781995,eV/L0^2,0.15324954293033052,0.4642658350860511,0.4642658350860511
old_family,normal_scan_0,v19_power_new_9_energy,heldout,heldout,retrospective,0.07659186968314344,0.07659186968314344,0.08634364038917487,eV/cell,0.007659186968314344,1.2732122542998363,1.2732122542998363
old_family,normal_scan_0,v19_power_new_9_force,heldout,heldout,retrospective,-0.15953065932670854,-0.15953065932670854,-0.24974392801511894,eV/L0,0.03173805605024358,-2.8424320804524523,-2.8424320804524523
old_family,normal_scan_0,v19_power_new_9_Haa,heldout,heldout,retrospective,13.640977289265752,13.640977289265752,29.41094787487698,eV/L0^2,1.3640977289265752,11.560733700525114,11.560733700525114
old_family,normal_scan_0,v19_power_new_9_Hxx,heldout,heldout,retrospective,-0.0018561341338510467,-0.0018561341338510467,0.309037780510507,eV/L0^2,0.1,3.1089391464435803,3.1089391464435803
old_family,normal_scan_0,v20_new_0_energy,heldout,heldout,new_predeclared,5.8649043216202346e-05,5.8649043216202346e-05,8.247592877554013e-05,eV/cell,0.004433026104653031,0.005374857940567597,0.005374857940567597
old_family,normal_scan_0,v20_new_0_force,heldout,heldout,new_predeclared,0.04781880717694997,0.04781880717694997,0.06665738590769128,eV/L0,0.03173805605024358,0.5935643538129276,0.5935643538129276
old_family,normal_scan_0,v20_new_0_Haa,heldout,heldout,new_predeclared,19.407850341619266,19.407850341619266,26.38101843313797,eV/L0^2,1.9407850341619266,3.592962625317168,3.592962625317168
old_family,normal_scan_0,v20_new_0_Hxx,heldout,heldout,new_predeclared,4.329394100444026,4.329394100444026,4.149072967727483,eV/L0^2,0.4329394100444026,-0.41650431569177065,-0.41650431569177065
old_family,normal_scan_0,v20_new_1_energy,heldout,heldout,new_predeclared,0.0036442749373840483,0.0036442749373840483,0.004602177604886531,eV/cell,0.004433026104653031,0.21608324536980306,0.21608324536980306
old_family,normal_scan_0,v20_new_1_force,heldout,heldout,new_predeclared,0.3655179304564104,0.3655179304564104,0.43528397465847085,eV/L0,0.03173805605024358,2.1981826515025333,2.1981826515025333
old_family,normal_scan_0,v20_new_1_Haa,heldout,heldout,new_predeclared,17.703231197779825,17.703231197779825,17.58320286500492,eV/L0^2,1.7703231197779825,-0.06780024021262115,-0.06780024021262115
old_family,normal_scan_0,v20_new_1_Hxx,heldout,heldout,new_predeclared,3.9093512902826126,3.9093512902826126,2.9486376878792004,eV/L0^2,0.3909351290282613,-2.457475757656869,-2.457475757656869
old_family,normal_scan_0,v20_new_2_energy,heldout,heldout,new_predeclared,0.034823381685342755,0.034823381685342755,0.03816825714042724,eV/cell,0.004433026104653031,0.754535474441175,0.754535474441175
old_family,normal_scan_0,v20_new_2_force,heldout,heldout,new_predeclared,1.045799857810823,1.045799857810823,1.0905702170931353,eV/L0,0.03173805605024358,1.4106207138659559,1.4106207138659559
old_family,normal_scan_0,v20_new_2_Haa,heldout,heldout,new_predeclared,13.514055878705095,13.514055878705095,10.826289729172435,eV/L0^2,1.3514055878705096,-1.9888671274239242,-1.9888671274239242
old_family,normal_scan_0,v20_new_2_Hxx,heldout,heldout,new_predeclared,2.9805611045837717,2.9805611045837717,1.9863990480839901,eV/L0^2,0.29805611045837715,-3.3354862444217996,-3.3354862444217996
old_family,normal_scan_0,v20_new_3_energy,heldout,heldout,new_predeclared,0.22661995382203423,0.22661995382203423,0.1989157212242691,eV/cell,0.022661995382203426,-1.2224974954995096,-1.2224974954995096
old_family,normal_scan_0,v20_new_3_force,heldout,heldout,new_predeclared,1.596539848274592,1.596539848274592,1.2724935045012582,eV/L0,0.03173805605024358,-10.210024938526344,-10.210024938526344
old_family,normal_scan_0,v20_new_3_Haa,heldout,heldout,new_predeclared,-2.2820717486649773,-2.2820717486649773,-1.473491212811981,eV/L0^2,0.22820717486649775,3.5431863013335123,3.5431863013335123
old_family,normal_scan_0,v20_new_3_Hxx,heldout,heldout,new_predeclared,-0.8053213981525169,-0.8053213981525169,0.7223599237947105,eV/L0^2,0.1,15.276813219472274,15.276813219472274
