model,radius,coordinate,mode_index,planes,q_cubic_fraction,predicted_mode_variance_m2,actual_MD_mode_variance_m2,mode_variance_relative_difference,MD_empirical_block_mode_range_m2,conjugate_mode_index,conjugate_modes_independent,source_temperature_K,kinetic_calibration
tied_control,16.0,transverse,1,12,0.08333333333333333,9.144614819827302e-25,9.54432281334097e-25,-0.04187913604042803,5.604293474382638e-25,11,False,300,False
tied_control,16.0,transverse,2,12,0.16666666666666666,8.85422185865553e-25,6.809068641993113e-25,0.3003572623793924,4.720363270708013e-25,10,False,300,False
tied_control,16.0,transverse,3,12,0.25,8.526255629879016e-25,6.904436982866038e-25,0.2348951335261169,5.43198426497633e-25,9,False,300,False
tied_control,16.0,transverse,4,12,0.3333333333333333,8.266301759149902e-25,1.3102139234220542e-24,-0.3690876267319967,7.505413010329206e-25,8,False,300,False
tied_control,16.0,transverse,5,12,0.4166666666666667,8.113743195565163e-25,1.3487733774781016e-24,-0.39843539833681985,6.079796709107553e-25,7,False,300,False
tied_control,16.0,transverse,6,12,0.5,8.065241451763317e-25,1.1831538686827305e-24,-0.31832691712847216,9.68705991238627e-25,6,False,300,False
tied_control,16.0,transverse,7,12,0.5833333333333334,8.1137431955651665e-25,1.3487733774781016e-24,-0.3984353983368196,6.079796709107553e-25,5,False,300,False
tied_control,16.0,transverse,8,12,0.6666666666666666,8.266301759149909e-25,1.3102139234220542e-24,-0.36908762673199613,7.505413010329206e-25,4,False,300,False
tied_control,16.0,transverse,9,12,0.75,8.526255629879031e-25,6.904436982866038e-25,0.23489513352611913,5.431984264976328e-25,3,False,300,False
tied_control,16.0,transverse,10,12,0.8333333333333334,8.85422185865556e-25,6.809068641993113e-25,0.30035726237939664,4.720363270708013e-25,2,False,300,False
tied_control,16.0,transverse,11,12,0.9166666666666666,9.144614819827366e-25,9.544322813340968e-25,-0.04187913604042115,5.604293474382638e-25,1,False,300,False
