axis,dt_ps,prefix_ps,nw,parts,block,drag_J_s_m2,mobility_m2_J_s,objective
1,0.0025,5000,3.0,4,1,4.54637265386536e-12,219955572526.54874,0.11933343412833784
1,0.0025,5000,3.0,4,2,4.8891886267566575e-12,204532914628.6938,0.03827082248623445
1,0.0025,5000,3.0,4,3,4.046164841782043e-12,247147617337.20474,0.020290842672820858
1,0.005,1000,2.0,1,0,4.0292386865407394e-12,248185842983.2906,0.03478284665088144
1,0.005,1000,2.0,2,0,3.856355479781364e-12,259312193920.6432,0.1748707630308333
1,0.005,1000,2.0,2,1,4.331317207500635e-12,230876648394.22946,0.06882832631050922
1,0.005,1000,2.0,4,0,3.9159664079406954e-12,255364805472.3416,0.11577227758714706
1,0.005,1000,2.0,4,1,3.956666330892971e-12,252738016393.2884,0.018609430061194858
1,0.005,1000,2.0,4,2,4.435374125309255e-12,225460123937.18317,0.026424962819892348
1,0.005,1000,2.0,4,3,4.55389177328748e-12,219592394765.69608,0.15450117319981593
1,0.005,1000,3.0,1,0,4.026948727855948e-12,248326975976.2812,0.021623529367024705
1,0.005,1000,3.0,2,0,3.8243264900627006e-12,261483950859.9604,0.2769775428821319
1,0.005,1000,3.0,2,1,4.263675017962467e-12,234539451479.55527,0.07579590559274216
