model,fraction_a1,fraction_a2,a_L0,ux_L0,uy_L0,energy_J_m2,normal_force_eV_L0,registry_x_force_eV_L0,registry_y_force_eV_L0,min_registry_hessian_eV_L0sq
analytic_candidate,0.05,1.0,0.816496580927726,0.55,0.8660254037844386,0.013892361707438634,-0.060026897553413686,0.24541210140620393,-0.03646301516556992,3.417489922747087
analytic_candidate,0.1,0.0,0.816496580927726,0.1,0.0,0.05492328465784185,-0.2405211848419602,0.47910980314488205,-0.144358198006581,1.7922437188324267
analytic_candidate,0.1,0.05,0.816496580927726,0.125,0.04330127018922193,0.07414397162288869,-0.3058327786192769,0.4340844329840197,0.00946325393084176,0.6677354702430802
analytic_candidate,0.1,0.1,0.816496580927726,0.15000000000000002,0.08660254037844387,0.10536503467221327,-0.4186633191722642,0.32604943697213185,0.18824473020498664,-0.5873662767849681
analytic_candidate,0.1,0.15000000000000002,0.816496580927726,0.17500000000000002,0.1299038105676658,0.14697090546175703,-0.5805067057019664,0.16320387578794265,0.3763439477943554,-1.7349900026641092
analytic_candidate,0.1,0.2,0.816496580927726,0.2,0.17320508075688773,0.19610766921195427,-0.7862439137849034,-0.04313673791728112,0.5530903464932141,-2.6501153207736183
analytic_candidate,0.1,0.25,0.816496580927726,0.225,0.21650635094610965,0.24849472939954897,-1.0205306271813048,-0.27798921115377695,0.6954201623082531,-3.266652679022401
analytic_candidate,0.1,0.30000000000000004,0.816496580927726,0.25,0.2598076211353316,0.2986131165856807,-1.2571583533119008,-0.5220434455960088,0.7820725818226133,-3.5731746058074476
analytic_candidate,0.1,0.35000000000000003,0.816496580927726,0.275,0.30310889132455354,0.34036248945826336,-1.4625089714592563,-0.7518696166379022,0.7984238662524012,-3.6245511197563722
analytic_candidate,0.1,0.4,0.816496580927726,0.30000000000000004,0.34641016151377546,0.36810582436257017,-1.6027368773685247,-0.9418378513278369,0.7404904555217904,-3.546857771875399
analytic_candidate,0.1,0.45,0.816496580927726,0.325,0.3897114317029974,0.37783760922956616,-1.6525981250173247,-1.0678783582097275,0.6165398575741619,-3.495684424261984
analytic_candidate,0.1,0.5,0.816496580927726,0.35,0.4330127018922193,0.3681058243625707,-1.6027368773685262,-1.112202471405699,0.44541027773476427,-3.5468577718754073
analytic_candidate,0.1,0.55,0.816496580927726,0.375,0.4763139720814413,0.34036248945826314,-1.4625089714592576,-1.067390159481319,0.2519262552158896,-3.6245511197563722
