axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
1,0.05,180.0,3,4,-0.00017220584707743956,-0.0002489820186652748
1,0.05,180.0,3,5,-0.000351903292115279,0.00020389745251038293
1,0.05,180.0,4,0,-9.607808504414525e-05,4.2313399946214235e-05
1,0.05,180.0,4,1,-0.00015866993203693072,-0.00024448415173685664
1,0.05,180.0,4,2,0.00015304134647439762,0.00022321532251272036
1,0.05,180.0,4,3,-5.3976380439102956e-05,-2.3630006010614087e-05
1,0.05,180.0,4,4,0.00011428976299935784,-0.00016338765458988224
1,0.05,180.0,4,5,4.13932880464234e-05,0.00016597308987841838
1,0.05,180.0,5,0,-0.00018255310744638893,-0.00021617021359130004
1,0.05,180.0,5,1,1.4320445991429794e-05,-0.00012192106999445428
1,0.05,180.0,5,2,0.0001352593836028065,0.00023936192717588585
1,0.05,180.0,5,3,1.9145174712842237e-05,-0.00016416036509272775
1,0.05,180.0,5,4,-9.509256449653817e-05,4.5954454726676995e-05
1,0.05,180.0,5,5,0.00010892066763584863,0.0002169352667759193
1,0.05,180.0,6,0,0.0004116979153057199,0.00026026794502565447
1,0.05,180.0,6,1,2.7670683407842304e-05,-0.0003292726283714897
1,0.05,180.0,6,2,-0.00014612997022882198,6.793491715337373e-05
1,0.05,180.0,6,3,-0.00010380382960366664,-1.839553033702944e-05
1,0.05,180.0,6,4,-0.0001582381474682532,-0.00020927493077187392
1,0.05,180.0,6,5,-3.119665141282027e-05,0.00022874022730136497
1,0.05,180.0,7,0,0.00016202955878312665,-0.00010122356088986478
1,0.05,180.0,7,1,-3.5548850164057025e-05,2.8853353387112843e-05
1,0.05,180.0,7,2,-0.00024328587129031018,-0.00023072109866216424
1,0.05,180.0,7,3,-4.915229733705429e-05,0.00016320252725576665
1,0.05,180.0,7,4,8.107980974168233e-05,0.0001296817164167159
1,0.05,180.0,7,5,8.487765026661227e-05,1.0207062492433533e-05
1,0.05,180.0,8,0,0.00023523154840296277,0.0002185838118150459
1,0.05,180.0,8,1,5.7244831106724846e-05,-7.470952213112072e-05
1,0.05,180.0,8,2,-0.00031101743440987555,-0.0003384234820860128
1,0.05,180.0,8,3,-5.226811947636352e-05,0.00013132563325239454
1,0.05,180.0,8,4,1.649986907564249e-05,-7.123044202811295e-06
1,0.05,180.0,8,5,5.430930530090909e-05,7.034660335250429e-05
1,0.05,180.0,9,0,0.00011609163415044201,9.014449753753215e-05
1,0.05,180.0,9,1,8.488793158936849e-06,0.00020505827005477643
1,0.05,180.0,9,2,0.00018890166076103025,-0.00014985834878522987
1,0.05,180.0,9,3,-0.00017128720326872946,-0.00020215827063709035
1,0.05,180.0,9,4,1.2087063737826657e-05,0.00015638039032935363
1,0.05,180.0,9,5,-0.0001542819485395061,-9.95665384993419e-05
1,0.05,180.0,10,0,0.00011690211263929755,-7.615207280142121e-06
1,0.05,180.0,10,1,-4.935020882597811e-05,-0.0002352772456642362
1,0.05,180.0,10,2,-1.5887176139651007e-05,-0.0001554559062727365
1,0.05,180.0,10,3,0.00012888450512622113,6.58977338547023e-05
1,0.05,180.0,10,4,-0.0001557803747359378,0.00023270763717226655
1,0.05,180.0,10,5,-2.4768858063951832e-05,9.974298819014636e-05
1,0.05,180.0,11,0,-4.93567562711249e-05,5.447788046809391e-05
1,0.05,180.0,11,1,-0.00013431061347738633,0.0001928819898719427
1,0.05,180.0,11,2,0.00016689048677125088,-0.00012023597045768511
1,0.05,180.0,11,3,9.332621717330921e-05,1.0483017624993954e-07
1,0.05,180.0,11,4,-1.854275658449028e-05,8.893768463510275e-06
1,0.05,180.0,11,5,-5.8006577611558545e-05,-0.0001361224985221117
1,0.05,180.0,12,0,1.7733313039571062e-05,-2.7629099430465017e-05
1,0.05,180.0,12,1,-3.8276018963687375e-05,0.000111969340527772
1,0.05,180.0,12,2,-5.6094060872857396e-06,-0.0001211175074672737
1,0.05,180.0,12,3,-3.5668520330853286e-05,-0.0002413286877092098
1,0.05,180.0,12,4,-8.257898709940946e-05,3.276107370153889e-05
1,0.05,180.0,12,5,0.00014439961944166468,0.00024534488037763737
1,0.05,180.0,13,0,0.0001069005260625833,-4.340549259170458e-05
