phase,time_reduced,force_reduced,survival_from_cycle_start,outflux,hazard,conditional_mean_lambda,conditional_variance,conditional_mean_shifted_energy
0.41,4.92,0.011750787564852977,0.9454219904893353,0.014460662233331699,0.01528143796966488,1.0211677418710219,0.0006895012280052272,0.00041051824768421186
0.42,5.04,0.01137227571871201,0.9437237686086847,0.014151849005420894,0.014982277306282078,1.0209747398493298,0.0006892526991091633,0.0004080625005759453
0.43,5.16,0.010980455040955508,0.9420663286569847,0.013811999597496814,0.014648505338998094,1.0207562207072518,0.0006888235934597066,0.00040526244092453585
0.43999999999999995,5.279999999999999,0.010576871868792748,0.9404529664161013,0.013444685340693823,0.014283719340926487,1.020513042472861,0.0006882116069565707,0.00040213870575013484
0.44999999999999996,5.3999999999999995,0.010163118960624632,0.9388865327631065,0.0130536137749574,0.013891706957208604,1.0202461689856035,0.0006874146593911597,0.00039871396650765313
0.45999999999999996,5.52,0.009740829210153987,0.9373694250041295,0.012642564658141899,0.013476378167985203,1.0199566666532118,0.0006864309978311673,0.0003950127005368771
0.47,5.64,0.009311669202100074,0.9359035855710188,0.012215328609254941,0.013041698709672435,1.0196457007149309,0.000685259308307473,0.0003910609437300699
0.48,5.76,0.008877332634950129,0.9344905076089248,0.011775649684115635,0.012591626510665237,1.0193145309918985,0.0006838988328927257,0.00038688602674175423
0.49,5.88,0.008439533636705195,0.9331312468526374,0.011327172969063305,0.012130052503397696,1.0189645071086284,0.0006823494890278471,0.00038251629741179876
0.5,6.0,0.008,0.9318264390867533,0.010873398049033806,0.011660746949058252,1.0185970631742831,0.0006806119877941197,0.0003779808324292267
0.51,6.12,0.007560466363294807,0.930576322410348,0.010417638970044368,0.011187312164705797,1.0182137119187293,0.0006786879477528196,0.00037330914161701743
0.52,6.24,0.007122667365049873,0.9293807634805206,0.009962991081892598,0.0107131422865954,1.0178160382861285,0.0006765800009886181,0.0003685308685520263
0.5299999999999999,6.359999999999999,0.006688330797899933,0.9282392868897998,0.009512304922671196,0.01024139044798382,1.0174056924977755,0.0006742918881019371,0.00036367549153178944
0.5399999999999999,6.4799999999999995,0.006259170789846018,0.9271511068378827,0.009068167099314729,0.009774943504844997,1.0169843826058427,0.0006718285391013648,0.00035877202914342084
0.5499999999999999,6.6,0.00583688103937537,0.9261151602858881,0.008632887933286764,0.009316404216260081,1.0165538665702316,0.0006691961374488104,0.000353848754861185
0.5599999999999999,6.72,0.005423128131207258,0.9251301408280784,0.008208495481746932,0.008868080584950882,1.0161159439015626,0.000666402164902485,0.00034893292518198857
0.57,6.84,0.005019544959044494,0.9241945325783063,0.0077967354147699475,0.008431981892728788,1.0156724469240472,0.0006634554252770887,0.0003440505257874985
0.58,6.96,0.004627724281287993,0.923306643442739,0.007399076129728369,0.008009820827619115,1.0152252317221548,0.0006603660457838589,0.0003392260400866098
0.59,7.08,0.004249212435147025,0.9224646372329582,0.007016718414838331,0.007603020997272503,1.0147761688442383,0.0006571454552087988,0.0003344822442354182
0.6,7.199999999999999,0.0038855032339526916,0.9216665641608767,0.006650608934011059,0.007212729055472721,1.014327133844247,0.0006538063388156454,0.0003298400323513805
0.61,7.319999999999999,0.003538032071759175,0.9209103893457778,0.006301456792488865,0.0068398306342226664,1.0138799977489785,0.0006503625704987692,0.0003253182751369521
0.62,7.4399999999999995,0.003208170258499181,0.9201940190512471,0.005969752454424955,0.00648496927003592,1.0134366175427143,0.0006468291233366586,0.0003209337145141817
0.63,7.56,0.0028972196080501228,0.9195153244533075,0.005655788316160959,0.006148567536183884,1.0129988267634082,0.0006432219602852653,0.0003167008961594596
