cells,charge_rate_model,initial,time_model,L1_marginal_error,L1_charge_disequilibrium,probability_mass_error,minimum_probability,generator_column_sum_max_abs,stationary_residual,detailed_balance_residual
24,30000.0,all_sector_0,1.0,1.0187874907627062e-05,3.6533480837934067e-06,1.0884626533425035e-12,1.8295863062950723e-06,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
48,0.0,local_charge_equilibrium,0.03,0.0031913600153596587,0.04004464780095098,2.220446049250313e-16,4.669799180729476e-14,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,0.0,local_charge_equilibrium,0.3,0.047250813955747546,0.13869207752372167,6.661338147750939e-16,6.02944524892845e-09,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,0.0,local_charge_equilibrium,1.0,0.08586007815019386,0.1254213448742157,3.219646771412954e-15,9.404519449522318e-07,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,0.0,all_sector_0,0.03,0.03625374819613319,0.594374803148744,0.0,0.0,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,0.0,all_sector_0,0.3,0.15867443043394155,0.5628316443299811,6.661338147750939e-16,0.0,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,0.0,all_sector_0,1.0,0.2998273104020558,0.49220147748179544,3.4416913763379853e-15,0.0,1.4210854715202004e-14,1.7763568394002505e-15,8.881784197001252e-16
48,3.0,local_charge_equilibrium,0.03,0.0030973137897782814,0.038284532643285796,6.661338147750939e-16,5.064069566728486e-14,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,3.0,local_charge_equilibrium,0.3,0.0355048433272487,0.08985302340674013,1.3322676295501878e-15,5.803612639769793e-08,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,3.0,local_charge_equilibrium,1.0,0.03943205817701976,0.03803310351217673,1.1102230246251565e-15,8.978362955713491e-07,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,3.0,all_sector_0,0.03,0.03464892326336527,0.54350446906617,1.1102230246251565e-15,8.522251085200536e-14,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,3.0,all_sector_0,0.3,0.10372470367787302,0.24014629550660924,2.6645352591003757e-15,5.58192075126844e-08,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,3.0,all_sector_0,1.0,0.09630257111714555,0.04914341361921762,6.661338147750939e-16,9.677898405728516e-07,2.7977620220553945e-14,2.0166160408230382e-15,8.881784197001252e-16
48,30.0,local_charge_equilibrium,0.03,0.0024126584396978556,0.02632877741773746,4.440892098500626e-16,7.148448827803978e-14,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
48,30.0,local_charge_equilibrium,0.3,0.009010280622500944,0.014265535466768288,3.552713678800501e-15,8.031649277760152e-09,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
48,30.0,local_charge_equilibrium,1.0,0.005710780527535716,0.003705067345705622,1.199040866595169e-14,9.345140080510919e-07,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
48,30.0,all_sector_0,0.03,0.02376041766055768,0.24336097132711265,5.551115123125783e-16,4.720471083047105e-13,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
48,30.0,all_sector_0,0.3,0.017273695730621184,0.013966885756395727,3.4416913763379853e-15,1.0237785389265234e-08,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
