model,case,load_fraction,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,local_normal_MPa,local_shear1_MPa,local_shear2_MPa,a_over_L0,s1_over_L0,s2_over_L0,delta_a_angstrom,delta_s1_angstrom,delta_s2_angstrom,local_normal_opening_over_h,conjugate_work_eV_cell,force_residual,minimum_H,local_equilibrium_verified,dynamic_plasticity_inferred
source_Al99_only,shear_xz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260687,2.887623517804265e-15,-1.2682201067462808e-15,-1.2717748915338577e-15,8.276002145966986e-15,-4.010770951526014e-15,-5.438959822042073e-16,0.0,1.521332284581238e-14,4.393546621110341,True,False
source_Al99_only,shear_yz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260692,-2.2615382587845332e-18,1.322951217031349e-16,0.0,0.0,0.0,0.0,0.0,4.0024300145742074e-15,4.39354662111037,True,False
source_Al99_only,shear_yz10MPa,0.5,0.0,0.0,0.0,0.0,0.0,5.0,3.333333333333334,2.041241452319315,1.1785113019775795,0.8165198696919563,5.899650200265051e-05,3.406164631248355e-05,6.165169756734863e-05,0.00016895314786106408,9.754514539765739e-05,2.636638828630084e-05,2.94946020719296e-08,1.0575253780314986e-14,4.391953090821447,True,False
source_Al99_only,shear_yz10MPa,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.666666666666668,4.08248290463863,2.357022603955159,0.816541406394572,0.00011802208129136188,6.814008040409452e-05,0.0001233281288461585,0.00033798956674403784,0.00019513836734316497,5.27433543614685e-05,1.1800581154586183e-07,1.1918851322567647e-14,4.3903570180377045,True,False
source_Al99_only,shear_yz10MPa,0.5,0.0,0.0,0.0,0.0,0.0,5.0,3.333333333333334,2.041241452319315,1.1785113019775795,0.8165198696919568,5.899650200476755e-05,3.406164631355286e-05,6.165169756862042e-05,0.00016895314786712683,9.754514540071965e-05,2.6366388286844736e-05,2.9494602072826122e-08,2.27975190808527e-15,4.3919530908213975,True,False
source_Al99_only,shear_yz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260693,-4.691449101325297e-16,-1.5102697538398294e-16,3.179437228834644e-16,-1.3370524130144212e-15,-8.113728532466922e-16,1.3597399555105182e-16,0.0,1.8629330366542787e-15,4.393546621110359,True,False
source_Al99_only,shear_yz10MPa,-0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-5.0,-3.333333333333334,-2.041241452319315,-1.1785113019775795,0.8164768220502435,-5.896751938457811e-05,-3.404491319025112e-05,-6.162738387798606e-05,-0.0001688701479476602,-9.749722537640115e-05,-2.6355990126968632e-05,2.948099521829364e-08,1.894046985223552e-15,4.393090859624121,True,False
source_Al99_only,shear_yz10MPa,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.0,-6.666666666666668,-4.08248290463863,-2.357022603955159,0.816455310935439,-0.00011790604421306482,-6.80730863653675e-05,-0.00012323053723210296,-0.0003376572617940465,-0.00019494651099063678,-5.2701617661731e-05,1.1789678349430968e-07,1.9390955854903247e-15,4.392636333100883,True,False
source_Al99_only,shear_yz10MPa,-0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-5.0,-3.333333333333334,-2.041241452319315,-1.1785113019775795,0.8164768220502431,-5.896751938690865e-05,-3.404491319104683e-05,-6.162738387925783e-05,-0.00016887014795433436,-9.74972253786799e-05,-2.635599012751253e-05,2.9480995219204553e-08,1.1109169140155473e-14,4.393090859624103,True,False
source_Al99_only,shear_yz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260688,-2.777781919713218e-15,-1.277193575443854e-15,-9.53831168650393e-16,-7.948486596344005e-15,-4.036469013821632e-15,-4.0792198665315547e-16,0.0,1.2369900172224377e-14,4.393546621110339,True,False
