model,a_over_h,component,force_MPa,Haa_eV_L0sq,energy_eV_cell
shape_refinement/old_family,6.0,pair_6,-1.080751898288703e-05,2.8576047406513685e-09,-0.014386075236252845
shape_refinement/old_family,6.0,pair_3,1.0858745043924427,-9.879248631945145e-05,0.048378796709737444
shape_refinement/old_family,6.0,embedding,0.771943660276192,-0.0002605477910996104,0.48720918719493467
shape_refinement/old_family,6.0,angular_3,4.822719353290659e-06,-3.6032716057167993e-09,0.016264550298514698
shape_refinement/old_family,6.0,angular_1,4.7989158268917284e-05,-3.2161748617932835e-08,0.2259630760902824
shape_refinement/old_family,6.0,angular_2,4.551910908415112e-14,-5.78144384432972e-17,0.01713825339253531
shape_refinement/old_family,6.0,angular_Eg_radial,4.912289239962707e-08,-3.861430050668541e-11,0.052291051034714396
shape_refinement/old_family,6.0,angular_rank3_quartic,1.046029139602288e-06,-7.814802084169899e-10,0.0016850358314156595
shape_refinement/old_family,10.0,pair_6,-6.53862627320414e-08,9.970634376979995e-12,-0.014386075966065344
shape_refinement/old_family,10.0,pair_3,0.19115919727038816,-9.82779869174897e-06,0.04857590234271518
shape_refinement/old_family,10.0,embedding,0.000112462969757399,-3.908937164702461e-08,0.4872458614531463
shape_refinement/old_family,10.0,angular_3,1.0904316027729512e-14,-8.641187386959388e-18,0.01626455040202931
shape_refinement/old_family,10.0,angular_1,1.1316191455897681e-12,-7.82544207565657e-16,0.22596307724103828
shape_refinement/old_family,10.0,angular_2,1.8065299894326338e-28,-2.3526434723076163e-31,0.01713825339253531
shape_refinement/old_family,10.0,angular_Eg_radial,5.466471589498113e-17,-4.4418497397031714e-20,0.052291051035719044
shape_refinement/old_family,10.0,angular_rank3_quartic,2.366820617360136e-15,-1.875565094877574e-18,0.0016850358538690285
shape_refinement/old_family,20.0,pair_6,-8.41057293224761e-11,6.1662592721117636e-15,-0.014386075973805049
shape_refinement/old_family,20.0,pair_3,0.020509703044547946,-5.025908978244572e-07,0.04864538833013641
shape_refinement/old_family,20.0,embedding,1.62901819183583e-14,-5.786454057646768e-18,0.48724586665864233
shape_refinement/old_family,20.0,angular_3,2.2015415586301846e-37,-1.8162579540262534e-40,0.01626455040202931
shape_refinement/old_family,20.0,angular_1,2.931369801786766e-32,-2.0734107039792178e-35,0.22596307724103828
shape_refinement/old_family,20.0,angular_2,2.974850974779499e-65,-3.9448099511004115e-68,0.01713825339253531
shape_refinement/old_family,20.0,angular_Eg_radial,4.772401183639127e-40,-3.97964142793796e-43,0.052291051035719044
shape_refinement/old_family,20.0,angular_rank3_quartic,4.780628466678201e-38,-3.9439735045772804e-41,0.0016850358538690285
shape_refinement/old_family,40.0,pair_6,-1.3208140578349948e-13,4.734031634501147e-18,-0.01438607597382577
shape_refinement/old_family,40.0,pair_3,0.00237651592323924,-2.8411435238566375e-08,0.04866080758494295
shape_refinement/old_family,40.0,embedding,1.7242980563350637e-34,-6.191322517019048e-38,0.48724586665864233
shape_refinement/old_family,40.0,angular_3,5.129810373434307e-84,-4.31353554551213e-87,0.01626455040202931
shape_refinement/old_family,40.0,angular_1,4.842439698270306e-72,-3.4630759404239625e-75,0.22596307724103828
shape_refinement/old_family,40.0,angular_2,9.812724301317854e-140,-1.3127642409117132e-142,0.01713825339253531
shape_refinement/old_family,40.0,angular_Eg_radial,5.175742386368128e-87,-4.3737120989797285e-90,0.052291051035719044
shape_refinement/old_family,40.0,angular_rank3_quartic,1.1141482225700878e-84,-9.368599467613332e-88,0.0016850358538690285
shape_refinement/old_family,80.0,pair_6,-2.308846985727956e-16,4.0886564939166675e-21,-0.014386075973825841
shape_refinement/old_family,80.0,pair_3,0.0002860678449510036,-1.6888954753409132e-09,0.04866444142419203
shape_refinement/old_family,80.0,embedding,9.703025161513445e-75,-3.5027742198687737e-78,0.48724586665864233
shape_refinement/old_family,80.0,angular_3,1.6688039729798884e-178,-1.4163655674753868e-181,0.01626455040202931
shape_refinement/old_family,80.0,angular_1,3.278930665375617e-152,-2.3577237369589773e-155,0.22596307724103828
shape_refinement/old_family,80.0,angular_2,1.3169951344658217e-289,-1.7696128571458392e-292,0.01713825339253531
shape_refinement/old_family,80.0,angular_Eg_radial,8.124456766027392e-182,-6.911828742074812e-185,0.052291051035719044
