run,observable,role,units,target,prediction,scale,normalized_residual
nested_range,v16_off_minus_Haa,fit,eV/L0^2,5.497617912510364,8.581336238808802,0.5497617912510364,5.60918997168053
nested_range,v16_shockley043_energy,fit,eV/cell,0.061697611386283796,0.06626213960707793,0.00616976113862838,0.7398225179603771
nested_range,v16_shockley043_normal_force,fit,eV/L0,-0.43484281773712713,-0.5781270259723951,0.03173805605024358,-4.514586778989833
nested_range,v16_shockley043_Haa,fit,eV/L0^2,25.03469226049791,32.00896695009515,2.5034692260497913,2.7858439868269946
nested_range,v16_opening1.21_energy,fit,eV/cell,0.19627832926906572,0.1741635504054778,0.019627832926906574,-1.1267050695786265
nested_range,v16_opening1.21_normal_force,fit,eV/L0,1.631864707518524,1.2961498186076748,0.03173805605024358,-10.577676477078144
nested_range,v16_opening1.21_Haa,fit,eV/L0^2,-1.3832350292334812,-0.8054399393524266,0.13832350292334814,4.177128815203872
nested_range,v16_opening1.62_energy,fit,eV/cell,0.5246331923940108,0.4946625382669435,0.05246331923940109,-0.5712687371209775
nested_range,v16_opening1.62_normal_force,fit,eV/L0,0.5093642313524578,0.6444507884666408,0.03173805605024358,4.256295877111424
nested_range,v16_opening1.62_Haa,fit,eV/L0^2,-0.15582859326870177,-1.359572761151805,0.1,-12.03744167883103
nested_range,v16_opening1.93_energy,fit,eV/cell,0.6719836252695317,0.6225075956468704,0.06719836252695317,-0.7362683815817167
nested_range,v16_opening1.93_normal_force,fit,eV/L0,0.6270410192299789,0.3917392704205613,0.03173805605024358,-7.413867706229971
nested_range,v16_opening1.93_Haa,fit,eV/L0^2,-0.6638075680371565,-0.7309063725174642,0.1,-0.6709880448030769
nested_range,v16_opening2.71_energy,fit,eV/cell,0.7719163228888833,0.7705792546293073,0.07719163228888834,-0.017321414509957108
nested_range,v16_opening2.71_normal_force,fit,eV/L0,0.0,0.12503542714322505,0.03173805605024358,3.9396057195590415
nested_range,v16_opening2.71_Haa,fit,eV/L0^2,0.0,-0.22145879653280368,0.1,-2.2145879653280365
nested_range,v16_opening4.3_energy,fit,eV/cell,0.7719163228888833,0.8339785600201527,0.07719163228888834,0.804002134570785
nested_range,v16_opening4.3_normal_force,fit,eV/L0,0.0,0.01266934719226363,0.03173805605024358,0.3991847254982208
nested_range,v16_opening4.3_Haa,fit,eV/L0^2,0.0,-0.02143136823281742,0.1,-0.2143136823281742
nested_range,v16_opening6.2_energy,fit,eV/cell,0.7719163228888833,0.8414320418022329,0.07719163228888834,0.9005602919910819
nested_range,v16_opening6.2_normal_force,fit,eV/L0,0.0,0.0014845969534742632,0.03173805605024358,0.046776555915209225
nested_range,v16_opening6.2_Haa,fit,eV/L0^2,0.0,-0.0015018184228537653,0.1,-0.015018184228537653
nested_range,v17_near_0.985_normal_force,fit,eV/L0,-0.24821900083247345,-0.38993574510280793,0.03173805605024358,-4.46519925624893
nested_range,v17_near_0.985_Haa,fit,eV/L0^2,20.878110673451364,35.50775865381611,2.0878110673451364,7.007170432795832
nested_range,v17_near_1.015_normal_force,fit,eV/L0,0.2329580444899274,0.290916707199958,0.03173805605024358,1.8261566687725908
nested_range,v17_near_1.015_Haa,fit,eV/L0^2,18.39295935022696,20.29013821583923,1.839295935022696,1.0314701563176465
nested_range,v17_near_1.065_normal_force,fit,eV/L0,0.9078686582498847,0.9425819656487695,0.03173805605024358,1.0937439691936763
nested_range,v17_near_1.065_Haa,fit,eV/L0^2,14.605604041867348,15.24187133562571,1.4605604041867348,0.4356323038297388
