radius_set,group,coordination_label,Si_O_radius_A,Si_Si_radius_A,Si_H_radius_A,frames,atoms,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A
0,Si_O_H_vacuum1,Si_O4_Si1_H0,1.8,2.6,1.7,92,137,0.5461249012093634,0.41281130770857427,2.273944713183152
1,Si_O_H_vacuum1,Si_O4_Si0_H0,2.0,2.8,1.9,156,1252,0.49569626637131187,0.3798957811586922,2.6188603655026332
1,Si_O_H_vacuum1,Si_O4_Si1_H0,2.0,2.8,1.9,156,804,0.5230647742097023,0.39564115344352746,2.994849712844889
2,Si_O_H_vacuum1,Si_O4_Si1_H0,2.2,3.0,2.1,156,813,0.5171330945676077,0.39113535361197455,2.5047016205441075
2,Si_O_H_vacuum1,Si_O4_Si2_H0,2.2,3.0,2.1,156,864,0.5046552947217889,0.38280498237045807,2.2656904747098316
2,Si_O_H_vacuum1,Si_O5_Si0_H0,2.2,3.0,2.1,8,8,0.48361951701958106,0.3742465984481161,1.340237740821701
2,Si_O_H_vacuum1,Si_O4_Si0_H0,2.2,3.0,2.1,122,265,0.5311970965591182,0.40769409948684493,2.6188603655026332
2,Si_O_H_vacuum1,Si_O5_Si2_H0,2.2,3.0,2.1,19,19,0.6075732613531265,0.48333686543461607,1.9018952714335176
2,Si_O_H_vacuum1,Si_O4_Si4_H0,2.2,3.0,2.1,54,79,0.557176798469073,0.4183288288707792,2.2986137008118632
1,Si_O_H_vacuum1,Si_O4_Si2_H0,2.0,2.8,1.9,95,179,0.5884518335741886,0.4282174941341566,2.5695757441883527
1,Si_O_H_vacuum1,Si_O5_Si1_H0,2.0,2.8,1.9,12,12,0.5804245104149061,0.4628065193266744,1.137632138601786
2,Si_O_H_vacuum1,Si_O5_Si1_H0,2.2,3.0,2.1,18,18,0.6434055979200776,0.5252886491462485,1.7033330697324263
2,Si_O_H_vacuum1,Si_O4_Si5_H0,2.2,3.0,2.1,5,5,0.7170194068442245,0.528103213963009,1.698094895850888
0,Si_O_H_vacuum1,Si_O4_Si2_H0,1.8,2.6,1.7,2,2,0.5391348497693164,0.43903368762615996,0.988817827195271
2,Si_O_H_vacuum1,Si_O0_Si1_H2,2.2,3.0,2.1,2,2,0.5363152572030602,0.40646087335997727,1.0122588926693332
1,Si_O_H_vacuum1,Si_O4_Si3_H0,2.0,2.8,1.9,10,10,0.5573882296502286,0.4575776632710163,1.0926151764131933
2,Si_O_H_vacuum1,Si_O5_Si3_H0,2.2,3.0,2.1,15,16,0.7896175642588182,0.5233475822912718,2.994849712844889
1,Si_O_H_vacuum1,Si_O5_Si2_H0,2.0,2.8,1.9,4,4,1.1071264093792317,0.8409560009281409,2.8137970830631844
1,Si_O_H_vacuum1,Si_O5_Si0_H0,2.0,2.8,1.9,6,7,0.5619885326750673,0.4845282454275839,1.1693204230834469
2,Si_O_H_vacuum1,Si_O5_Si4_H0,2.2,3.0,2.1,1,1,0.3817094056086672,0.30255683147858387,0.6202977385060882
2,Si_O_H_vacuum1,Si_O6_Si4_H0,2.2,3.0,2.1,2,2,0.8475739618107875,0.7360705611744094,1.472364663442414
2,Si_O_H_vacuum1,Si_O5_Si5_H0,2.2,3.0,2.1,2,2,0.7172120253993517,0.6107810273798255,1.3894990530617142
2,Si_O_H_vacuum1,Si_O4_Si6_H0,2.2,3.0,2.1,1,1,0.9152610011422633,0.7425501750591593,1.4946493705640669
1,Si_O_H_vacuum1,Si_O6_Si1_H0,2.0,2.8,1.9,1,1,0.8568549404577998,0.786166159441659,1.263207162639203
2,Si_O_H_vacuum1,Si_O6_Si3_H0,2.2,3.0,2.1,2,2,0.8011490638109096,0.742775609419778,1.263207162639203
2,Si_O_H_vacuum1,Si_O6_Si2_H0,2.2,3.0,2.1,1,1,0.5154229754824274,0.42626948257294134,0.6539696544551649
