source_frame,atoms,observed_group,Si_without_O_neighbors,Si_with_1_to_3_O_neighbors,Si_with_4_or_more_O_neighbors,Si_with_H_neighbors
384,192,Si_vacuum0,192,0,0,0
385,192,Si_vacuum0,192,0,0,0
386,192,Si_vacuum0,192,0,0,0
387,192,Si_vacuum0,192,0,0,0
388,192,Si_vacuum0,192,0,0,0
389,192,Si_vacuum0,192,0,0,0
390,192,Si_vacuum0,192,0,0,0
391,192,Si_vacuum0,192,0,0,0
392,192,Si_vacuum0,192,0,0,0
393,192,Si_vacuum0,192,0,0,0
394,192,Si_vacuum0,192,0,0,0
395,192,Si_vacuum0,192,0,0,0
396,192,Si_vacuum0,192,0,0,0
397,192,Si_vacuum0,192,0,0,0
398,192,Si_vacuum0,192,0,0,0
399,192,Si_vacuum0,192,0,0,0
400,192,Si_vacuum0,192,0,0,0
401,192,Si_vacuum0,192,0,0,0
402,192,Si_vacuum0,192,0,0,0
403,192,Si_vacuum0,192,0,0,0
404,192,Si_vacuum0,192,0,0,0
405,192,Si_vacuum0,192,0,0,0
406,192,Si_vacuum0,192,0,0,0
407,192,Si_vacuum0,192,0,0,0
408,192,Si_vacuum0,192,0,0,0
409,192,Si_vacuum0,192,0,0,0
410,192,Si_vacuum0,192,0,0,0
411,192,Si_vacuum0,192,0,0,0
412,192,Si_vacuum0,192,0,0,0
413,192,Si_vacuum0,192,0,0,0
414,192,Si_vacuum0,192,0,0,0
415,192,Si_vacuum0,192,0,0,0
416,192,Si_vacuum0,192,0,0,0
417,192,Si_vacuum0,192,0,0,0
418,192,Si_vacuum0,192,0,0,0
419,192,Si_vacuum0,192,0,0,0
420,192,Si_vacuum0,192,0,0,0
421,192,Si_vacuum0,192,0,0,0
422,192,Si_vacuum0,192,0,0,0
423,192,Si_vacuum0,192,0,0,0
424,192,Si_vacuum0,192,0,0,0
425,192,Si_vacuum0,192,0,0,0
426,192,Si_vacuum0,192,0,0,0
427,192,Si_vacuum0,192,0,0,0
428,192,Si_vacuum0,192,0,0,0
429,192,Si_vacuum0,192,0,0,0
430,192,Si_vacuum0,192,0,0,0
431,192,Si_vacuum0,192,0,0,0
432,192,Si_vacuum0,192,0,0,0
433,216,Si_O_vacuum0,0,0,72,0
434,216,Si_O_vacuum0,0,13,59,0
435,216,Si_O_vacuum0,0,25,47,0
436,216,Si_O_vacuum0,0,24,48,0
437,216,Si_O_vacuum0,0,16,56,0
438,216,Si_O_vacuum0,0,15,57,0
439,216,Si_O_vacuum0,0,23,49,0
440,216,Si_O_vacuum0,0,13,59,0
441,216,Si_O_vacuum0,0,10,62,0
442,216,Si_O_vacuum0,0,12,60,0
443,216,Si_O_vacuum0,0,12,60,0
444,216,Si_O_vacuum0,0,8,64,0
445,216,Si_O_vacuum0,0,5,67,0
446,216,Si_O_vacuum0,0,6,66,0
447,216,Si_O_vacuum0,0,2,70,0
448,216,Si_O_vacuum0,0,5,67,0
449,216,Si_O_vacuum0,0,3,69,0
450,216,Si_O_vacuum0,0,5,67,0
451,216,Si_O_vacuum0,0,5,67,0
452,216,Si_O_vacuum0,0,7,65,0
453,216,Si_O_vacuum0,0,2,70,0
454,216,Si_O_vacuum0,0,3,69,0
455,216,Si_O_vacuum0,0,1,71,0
456,216,Si_O_vacuum0,0,3,69,0
457,216,Si_O_vacuum0,0,3,69,0
458,216,Si_O_vacuum0,0,1,71,0
459,216,Si_O_vacuum0,0,1,71,0
460,216,Si_O_vacuum0,0,0,72,0
461,216,Si_O_vacuum0,0,2,70,0
462,216,Si_O_vacuum0,0,4,68,0
463,216,Si_O_vacuum0,0,1,71,0
464,216,Si_O_vacuum0,0,0,72,0
465,216,Si_O_vacuum0,0,1,71,0
