observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
new_off_path_negative_normal_force,fit,-0.05312860042135701,0.03173805605024358,eV/L0,-26.425220156542927,13.766967012972895,0.6693658135007131,-1.3061519359811569,0.1249896086789103,-0.014307617792056205,0.130402906628672,-0.04163077152757504,0.05199587047429346,-4.029102100308614e-05
new_off_path_negative_Haa,fit,13.5831841481301,1.35831841481301,eV/L0^2,340.18167154128514,-77.38535636332202,-1.1536998916650567,2.575868841023346,0.9775550963306621,0.07223587754762018,1.2561436191200768,1.9585295662161832,3.4775626846389227,0.00040815302902790884
new_shockley_058_energy,fit,0.07969505412787091,0.007969505412787091,eV/cell,0.5559415166316186,-0.10630808635551629,-0.0004775595756518758,0.0009552292751182634,4.4059857585352634e-07,0.0018115132092789933,3.6071036421830816e-05,0.0022619816076594624,0.00703481742566567,1.6406497838876993e-06
new_shockley_058_normal_force,fit,-0.6123357455328253,0.03173805605024358,eV/L0,-37.4637115172476,18.748725527662263,0.7742296343620111,-1.5487587736469985,-0.0011984399662007537,-0.011203475134072261,-0.012169710818515216,-0.05482438378356393,-0.03965954290491078,-2.0275569042351744e-05
new_shockley_058_Haa,fit,23.107568998056017,2.3107568998056016,eV/L0^2,411.40361936333744,-95.08258927663553,-1.1902821287288154,2.800068407943278,1.6791574702776795,0.17870613856846945,2.307369186127377,0.9080209920174115,6.2707461640783695,0.00044686532481970316
new_opening_1.17h_energy,fit,0.14263027381623705,0.014263027381623706,eV/cell,-2.230783844927741,1.8078660373336013,0.09608892152130277,-0.18890288023163637,0.012596552089035205,0.00041274166268876985,0.014352030625326638,0.0038754938248064335,0.020060345174680545,8.275101999351824e-08
new_opening_1.17h_normal_force,fit,1.6398229617729339,0.03173805605024358,eV/L0,-7.544122727098926,9.34481536801078,0.6160813751682019,-1.1898435190462175,0.15954096108774546,0.0026617381296224593,0.16867052151107084,0.023020371756673534,0.15340621523719986,1.056327735699988e-06
new_opening_1.42h_energy,fit,0.4226003973463561,0.042260039734635615,eV/cell,-2.9194658219764076,3.087311393934147,0.20150368444787414,-0.3883634819093751,0.053850010694387176,0.0005221039611409681,0.05044451259856527,0.00603018509956534,0.029780976553858907,1.26861577955499e-07
new_opening_1.42h_normal_force,fit,0.8686291067124379,0.03173805605024358,eV/L0,-1.1765659221121796,4.052023900116333,0.42486386143534655,-0.7870036266466808,0.22067568010893154,-0.0005956994459027144,0.1583075848827799,0.0038078032822897526,0.0145428748816219,-3.246058427667469e-07
new_opening_1.78h_energy,fit,0.5953584311886578,0.05953584311886578,eV/cell,-3.049400403972993,3.8284240056823227,0.2959706289439321,-0.5598776473599487,0.1130487414755986,0.000454175742590172,0.08216739045558313,0.0064540050819005676,0.03172272840689732,9.115738490810377e-08
new_opening_1.78h_normal_force,fit,0.5989965116849877,0.03173805605024358,eV/L0,-0.1142922233803015,1.5016507953339264,0.23351763947290585,-0.41525319424473517,0.17055890677233554,0.00022793987737035204,0.06333127003036224,0.00034804879899453606,0.0024787777840117077,9.044979508051456e-08
new_opening_2.23h_energy,fit,0.7765619947928292,0.07765619947928293,eV/cell,-3.064647158060822,4.1745324224568385,0.35485333323405355,-0.6631734402164415,0.1596665840095859,0.0005672821595885095,0.09429770596650179,0.006493801190201252,0.03211217902328818,1.4423461258376022e-07
new_opening_2.23h_normal_force,fit,0.15664558956102492,0.03173805605024358,eV/L0,-0.010223269626735578,0.5700613339139098,0.10296256335858302,-0.1781150306755522,0.08772253718598902,0.00023495779544123617,0.013650141180832869,1.5410754647447915e-05,0.0003265668240728587,1.2449465581217984e-07
new_opening_3.4h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.066518176476821,4.418251347024955,0.39367940798726897,-0.7296859635458961,0.1942804403986789,0.0006271475516885484,0.09723031585983029,0.006495536799894489,0.03217044833227037,1.7780384768141415e-07
new_opening_3.4h_normal_force,fit,0.0,0.03173805605024358,eV/L0,-0.00010968611814833457,0.10363527137422832,0.010121582072285602,-0.01715970312432023,0.009440527772542904,3.3520499264908e-06,0.00014557219018005588,2.379535406946849e-09,1.4309768721270563e-06,1.9856655301188472e-09
new_opening_5.5h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.0665496295655887,4.494699064415761,0.39760011362681036,-0.7363238393274822,0.19795931174763354,0.0006277873234459984,0.09725944011528931,0.006495537049427699,0.03217069172415069,1.7818316240354834e-07
